=== New Logging Session ===
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.02, 0.00, 0.02 | Gyro: 0.2, 0.1, 0.0 || MPU2 Acc: -0.01, -0.03, -0.01 | Gyro: 0.5, 0.4, 0.4 || Time: 12031 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.01, -0.03, -0.00 | Gyro: 0.1, 0.2, -0.2 || MPU2 Acc: 0.04, -0.03, -0.01 | Gyro: 0.4, -0.0, 0.0 || Time: 12265 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.02, 0.01, 0.01 | Gyro: 0.2, 0.2, -0.1 || MPU2 Acc: -0.02, 0.03, -0.08 | Gyro: -0.1, 0.1, -0.1 || Time: 12275 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.02, -0.07, -0.04 | Gyro: -0.1, 0.1, 0.0 || MPU2 Acc: 0.00, 0.03, -0.06 | Gyro: -0.3, 0.1, -0.2 || Time: 12285 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.03, 0.01, 0.02 | Gyro: 0.2, 0.1, -0.2 || MPU2 Acc: -0.02, -0.00, -0.06 | Gyro: 0.5, 0.1, -0.1 || Time: 12295 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.04, 0.04, 0.03 | Gyro: -0.2, 0.0, -0.1 || MPU2 Acc: -0.07, 0.06, -0.03 | Gyro: -0.1, -0.2, -0.1 || Time: 12305 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.02, 0.00, -0.01 | Gyro: 0.1, 0.2, -0.2 || MPU2 Acc: -0.02, 0.04, 0.00 | Gyro: -0.1, -0.1, -0.3 || Time: 12315 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.01, 0.00, -0.02 | Gyro: 0.4, 0.4, -0.3 || MPU2 Acc: 0.05, 0.00, -0.00 | Gyro: 0.5, -0.0, -0.1 || Time: 12325 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.04, -0.02, -0.03 | Gyro: 0.0, 0.3, -0.3 || MPU2 Acc: 0.04, 0.02, 0.01 | Gyro: 0.5, 0.3, 0.2 || Time: 12336 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.03, -0.02, 0.02 | Gyro: 0.3, 0.5, -0.3 || MPU2 Acc: 0.02, 0.06, 0.05 | Gyro: -0.6, 0.0, -0.1 || Time: 12346 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.04, -0.02, -0.05 | Gyro: 0.3, 0.4, -0.1 || MPU2 Acc: 0.04, 0.03, -0.03 | Gyro: 0.1, -0.1, -0.3 || Time: 12356 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.03, 0.02, 0.05 | Gyro: 0.3, 0.7, -0.2 || MPU2 Acc: 0.01, 0.03, 0.03 | Gyro: 0.3, -0.1, -0.1 || Time: 12367 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.04, 0.01, 0.04 | Gyro: 0.1, 0.5, -0.1 || MPU2 Acc: -0.04, 0.01, 0.03 | Gyro: -0.6, -0.3, -0.3 || Time: 12376 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.04, -0.07, 0.03 | Gyro: -0.2, 0.2, 0.1 || MPU2 Acc: 0.06, 0.03, 0.05 | Gyro: 0.1, -0.4, -0.1 || Time: 12386 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.02, 0.02, 0.05 | Gyro: -0.1, 0.4, -0.1 || MPU2 Acc: -0.03, -0.04, 0.02 | Gyro: -0.1, 0.1, 0.2 || Time: 12396 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.05, 0.04, -0.01 | Gyro: 0.0, 0.2, -0.2 || MPU2 Acc: -0.00, 0.01, -0.09 | Gyro: -0.3, -0.0, 0.1 || Time: 12406 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.01, 0.01, -0.02 | Gyro: 0.2, 0.2, -0.1 || MPU2 Acc: 0.06, 0.02, -0.07 | Gyro: 0.8, 0.2, 0.3 || Time: 12416 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.03, -0.02, 0.03 | Gyro: 0.1, -0.1, 0.0 || MPU2 Acc: 0.01, -0.04, 0.00 | Gyro: 0.4, 0.2, 0.7 || Time: 12426 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.00, -0.02, 0.10 | Gyro: 0.3, -0.2, -0.0 || MPU2 Acc: -0.01, -0.02, 0.05 | Gyro: -0.2, 0.4, 0.3 || Time: 12436 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.04, -0.04, 0.00 | Gyro: 0.3, -0.4, -0.2 || MPU2 Acc: -0.01, 0.03, 0.01 | Gyro: 0.8, 0.4, 0.8 || Time: 12446 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.01, 0.04, 0.02 | Gyro: 0.3, -0.1, 0.0 || MPU2 Acc: -0.01, -0.02, 0.03 | Gyro: 0.3, 0.3, 0.8 || Time: 12456 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.05, 0.00, -0.01 | Gyro: 0.2, -0.6, -0.0 || MPU2 Acc: -0.05, -0.02, -0.11 | Gyro: 0.2, 0.4, 0.5 || Time: 12466 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.03, 0.03, -0.10 | Gyro: 0.3, -0.7, -0.2 || MPU2 Acc: -0.01, -0.01, -0.01 | Gyro: 0.7, 0.4, 0.3 || Time: 12476 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.03, 0.03, 0.05 | Gyro: 0.2, -1.0, 0.0 || MPU2 Acc: -0.01, -0.03, -0.05 | Gyro: 1.6, 0.8, 0.5 || Time: 12486 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.05, -0.02, 0.04 | Gyro: 0.3, -0.9, -0.3 || MPU2 Acc: -0.07, -0.02, -0.05 | Gyro: 1.9, 0.9, 0.6 || Time: 12497 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.05, -0.03, -0.01 | Gyro: 0.1, -1.5, -0.1 || MPU2 Acc: -0.10, -0.07, -0.06 | Gyro: 1.3, 0.6, 0.1 || Time: 12507 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.01, 0.04, 0.01 | Gyro: 0.3, -1.4, -0.0 || MPU2 Acc: -0.04, -0.02, 0.03 | Gyro: 2.1, 0.8, -0.3 || Time: 12517 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.07, 0.00, 0.02 | Gyro: 0.4, -1.5, -0.2 || MPU2 Acc: 0.00, 0.01, 0.06 | Gyro: 2.7, 0.6, 0.1 || Time: 12527 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.02, 0.05, 0.03 | Gyro: 0.5, -1.3, -0.2 || MPU2 Acc: 0.03, 0.02, 0.06 | Gyro: 1.3, 0.7, -0.3 || Time: 12537 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.01, 0.00, 0.00 | Gyro: 0.6, -1.4, -0.2 || MPU2 Acc: -0.08, 0.00, 0.11 | Gyro: 2.1, 0.4, -0.2 || Time: 12547 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.01, 0.04, 0.07 | Gyro: 0.2, -1.6, -0.1 || MPU2 Acc: -0.06, 0.00, -0.06 | Gyro: 2.2, 0.7, 0.0 || Time: 12557 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.02, -0.08, -0.06 | Gyro: 0.4, -1.4, -0.1 || MPU2 Acc: 0.03, -0.02, 0.09 | Gyro: 1.9, 0.8, -0.4 || Time: 12568 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.02, 0.00, 0.06 | Gyro: 0.5, -1.6, -0.1 || MPU2 Acc: -0.04, 0.03, 0.07 | Gyro: 2.1, 0.6, -0.3 || Time: 12578 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.00, 0.01, 0.10 | Gyro: 0.5, -1.2, -0.3 || MPU2 Acc: 0.03, 0.00, 0.19 | Gyro: 1.5, 0.7, -0.4 || Time: 12588 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.01, 0.03, 0.07 | Gyro: 0.4, -1.1, -0.0 || MPU2 Acc: -0.02, 0.01, 0.11 | Gyro: 1.8, 0.7, -0.2 || Time: 12598 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.01, 0.00, -0.01 | Gyro: 0.6, -1.2, -0.0 || MPU2 Acc: 0.04, -0.05, 0.07 | Gyro: 2.0, 0.4, 0.1 || Time: 12608 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.02, -0.03, 0.02 | Gyro: -0.1, -1.4, -0.2 || MPU2 Acc: 0.01, -0.02, 0.04 | Gyro: 1.5, 0.5, -0.3 || Time: 12618 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.01, 0.06, 0.07 | Gyro: 0.4, -1.5, -0.2 || MPU2 Acc: -0.02, 0.01, 0.05 | Gyro: 1.5, 0.4, -0.4 || Time: 12630 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.05, 0.04, 0.02 | Gyro: 0.4, -1.6, -0.2 || MPU2 Acc: -0.03, -0.04, 0.14 | Gyro: 2.2, 0.6, -0.3 || Time: 12640 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.01, 0.03, 0.12 | Gyro: 0.1, -1.8, -0.0 || MPU2 Acc: 0.02, -0.00, 0.08 | Gyro: 2.8, 0.6, -0.3 || Time: 12650 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.00, 0.05, 0.06 | Gyro: 0.5, -1.6, -0.3 || MPU2 Acc: 0.05, -0.03, 0.10 | Gyro: 2.2, 0.5, -0.5 || Time: 12660 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.01, 0.04, 0.03 | Gyro: 0.3, -1.6, -0.2 || MPU2 Acc: -0.02, -0.05, 0.13 | Gyro: 2.8, 0.6, -0.1 || Time: 12670 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.03, -0.03, 0.04 | Gyro: 0.4, -1.9, -0.2 || MPU2 Acc: 0.08, -0.01, 0.14 | Gyro: 2.5, 0.9, -0.4 || Time: 12680 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.03, -0.06, 0.13 | Gyro: 0.4, -1.8, -0.3 || MPU2 Acc: 0.01, 0.03, 0.03 | Gyro: 3.2, 0.7, -0.1 || Time: 12690 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.04, -0.06, 0.12 | Gyro: 0.3, -2.0, -0.1 || MPU2 Acc: 0.00, 0.02, -0.01 | Gyro: 3.4, 0.9, -0.1 || Time: 12702 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.02, 0.00, 0.04 | Gyro: 0.5, -2.1, -0.1 || MPU2 Acc: 0.10, 0.02, 0.04 | Gyro: 2.4, 1.2, -0.1 || Time: 12711 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.06, 0.01, 0.12 | Gyro: 0.3, -2.3, -0.2 || MPU2 Acc: 0.00, -0.04, 0.09 | Gyro: 3.2, 1.0, -0.3 || Time: 12721 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.08, -0.04, 0.03 | Gyro: 0.6, -1.9, -0.2 || MPU2 Acc: -0.01, -0.04, 0.22 | Gyro: 3.9, 1.2, -0.3 || Time: 12732 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.00, 0.02, 0.03 | Gyro: 0.4, -2.1, -0.1 || MPU2 Acc: -0.03, -0.02, 0.06 | Gyro: 3.1, 1.3, -0.3 || Time: 12742 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.00, 0.03, 0.01 | Gyro: 0.3, -1.9, -0.1 || MPU2 Acc: 0.06, 0.02, 0.07 | Gyro: 3.4, 1.7, -0.3 || Time: 12752 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.05, 0.00, 0.10 | Gyro: -0.2, -1.0, -0.2 || MPU2 Acc: 0.09, 0.02, 0.06 | Gyro: 4.2, 3.5, 0.2 || Time: 12762 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.04, -0.05, 0.14 | Gyro: 0.2, -1.2, -0.2 || MPU2 Acc: -0.01, 0.01, 0.09 | Gyro: 3.4, 3.0, -0.1 || Time: 12772 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.05, 0.00, 0.09 | Gyro: 0.3, -1.0, -0.1 || MPU2 Acc: 0.02, 0.03, 0.15 | Gyro: 3.4, 3.2, -0.2 || Time: 12782 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, 0.00, 0.11 | Gyro: 0.2, -1.0, -0.1 || MPU2 Acc: 0.02, 0.01, 0.13 | Gyro: 4.5, 3.6, -0.3 || Time: 12792 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.00, 0.03 | Gyro: -0.1, -1.4, -0.2 || MPU2 Acc: -0.04, -0.00, 0.05 | Gyro: 4.8, 3.9, -0.2 || Time: 12803 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, -0.05, 0.07 | Gyro: 0.1, -1.1, -0.3 || MPU2 Acc: -0.09, -0.01, 0.11 | Gyro: 4.2, 3.9, -0.7 || Time: 12812 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.06, 0.03, 0.11 | Gyro: -0.0, -1.3, -0.3 || MPU2 Acc: -0.03, 0.00, 0.13 | Gyro: 5.3, 3.7, -1.0 || Time: 12822 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.04, 0.12 | Gyro: 0.3, -1.8, -0.3 || MPU2 Acc: -0.04, -0.02, 0.18 | Gyro: 4.6, 3.5, -1.3 || Time: 12832 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.03, -0.02, 0.12 | Gyro: 0.3, -1.8, -0.4 || MPU2 Acc: -0.10, 0.03, 0.08 | Gyro: 5.0, 3.1, -2.0 || Time: 12842 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.00, 0.08 | Gyro: 0.2, -2.2, -0.1 || MPU2 Acc: -0.12, 0.05, 0.18 | Gyro: 5.7, 2.7, -2.1 || Time: 12852 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.00, 0.08 | Gyro: -0.1, -2.6, -0.1 || MPU2 Acc: -0.03, -0.02, 0.15 | Gyro: 5.7, 2.6, -2.8 || Time: 12864 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.09, 0.02, 0.14 | Gyro: 0.4, -2.2, -0.6 || MPU2 Acc: -0.17, 0.03, 0.21 | Gyro: 5.2, 2.0, -3.7 || Time: 12873 ms
Enc Cnt: 0 | Angle: 0.0° || MPU1 Acc: -0.05, -0.03, 0.13 | Gyro: 0.6, -2.5, -0.3 || MPU2 Acc: -0.07, 0.02, 0.14 | Gyro: 6.4, 2.4, -4.3 || Time: 12883 ms
Enc Cnt: 0 | Angle: 0.0° || MPU1 Acc: -0.04, 0.04, 0.16 | Gyro: -0.1, -3.5, -0.3 || MPU2 Acc: -0.16, 0.02, 0.20 | Gyro: 6.9, 2.0, -4.9 || Time: 12894 ms
Enc Cnt: 0 | Angle: 0.0° || MPU1 Acc: -0.06, -0.03, 0.11 | Gyro: 0.1, -3.7, -0.3 || MPU2 Acc: -0.20, 0.01, 0.03 | Gyro: 6.6, 1.7, -6.1 || Time: 12903 ms
Enc Cnt: 0 | Angle: 0.0° || MPU1 Acc: 0.05, 0.04, 0.18 | Gyro: 0.2, -3.6, -0.1 || MPU2 Acc: 0.13, 0.13, 0.30 | Gyro: 8.1, 1.6, -6.9 || Time: 12913 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.06, -0.03, 0.13 | Gyro: 0.3, -5.0, -0.3 || MPU2 Acc: -0.28, 0.09, 0.17 | Gyro: 7.5, 1.2, -8.2 || Time: 12923 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.07, -0.04, -0.02 | Gyro: 0.5, -4.8, -0.4 || MPU2 Acc: -0.26, -0.02, 0.13 | Gyro: 7.7, -0.4, -10.1 || Time: 12935 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -0.05, 0.00, 0.21 | Gyro: 0.7, -5.3, -0.4 || MPU2 Acc: -0.18, 0.04, 0.20 | Gyro: 8.9, -0.4, -11.6 || Time: 12944 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -0.08, -0.01, 0.15 | Gyro: 0.4, -5.5, -0.5 || MPU2 Acc: -0.13, 0.06, 0.23 | Gyro: 9.1, -0.7, -13.1 || Time: 12954 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: -0.09, -0.03, 0.16 | Gyro: 0.5, -5.9, -0.6 || MPU2 Acc: -0.07, 0.01, 0.28 | Gyro: 9.9, -0.6, -14.4 || Time: 12965 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: -0.11, -0.05, 0.08 | Gyro: 0.7, -6.1, -0.6 || MPU2 Acc: -0.05, 0.04, 0.24 | Gyro: 10.4, -1.0, -15.9 || Time: 12974 ms
Enc Cnt: 4 | Angle: 1.0° || MPU1 Acc: -0.06, -0.09, 0.18 | Gyro: 0.9, -6.5, -0.7 || MPU2 Acc: -0.02, 0.01, 0.23 | Gyro: 11.8, -0.5, -16.5 || Time: 12984 ms
Enc Cnt: 5 | Angle: 1.3° || MPU1 Acc: 0.01, 0.00, 0.18 | Gyro: 0.3, -7.7, -0.7 || MPU2 Acc: -0.03, 0.06, 0.18 | Gyro: 11.2, -0.2, -18.3 || Time: 12994 ms
Enc Cnt: 6 | Angle: 1.5° || MPU1 Acc: -0.04, -0.06, 0.20 | Gyro: 0.6, -7.9, -0.9 || MPU2 Acc: -0.03, 0.05, 0.34 | Gyro: 13.0, -0.1, -19.8 || Time: 13004 ms
Enc Cnt: 7 | Angle: 1.5° || MPU1 Acc: -0.03, 0.00, 0.24 | Gyro: 0.7, -8.4, -0.9 || MPU2 Acc: -0.04, 0.02, 0.24 | Gyro: 13.7, -0.1, -21.2 || Time: 13014 ms
Enc Cnt: 8 | Angle: 1.8° || MPU1 Acc: -0.03, 0.01, 0.15 | Gyro: 0.7, -8.8, -0.9 || MPU2 Acc: -0.04, 0.09, 0.33 | Gyro: 13.7, -0.3, -23.4 || Time: 13024 ms
Enc Cnt: 8 | Angle: 2.0° || MPU1 Acc: -0.15, 0.18, 0.05 | Gyro: 0.5, -9.0, -3.2 || MPU2 Acc: 0.06, -0.64, -0.19 | Gyro: 15.0, -1.1, -25.4 || Time: 13034 ms
Enc Cnt: 9 | Angle: 2.2° || MPU1 Acc: -0.14, 0.01, 0.28 | Gyro: 1.6, -11.6, -4.5 || MPU2 Acc: 0.16, -0.01, 0.29 | Gyro: 16.3, 1.6, -27.2 || Time: 13044 ms
Enc Cnt: 10 | Angle: 2.5° || MPU1 Acc: -0.22, -0.00, 0.16 | Gyro: 1.6, -12.7, -6.3 || MPU2 Acc: 0.23, -0.30, 0.08 | Gyro: 16.6, -0.9, -29.2 || Time: 13054 ms
Enc Cnt: 12 | Angle: 2.7° || MPU1 Acc: -0.29, 0.19, 0.18 | Gyro: 1.8, -12.9, -8.6 || MPU2 Acc: 0.07, -0.69, 0.83 | Gyro: 18.6, 0.1, -30.8 || Time: 13066 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: -0.09, 0.54, 0.56 | Gyro: 1.5, -12.1, -12.1 || MPU2 Acc: 0.29, -1.49, 1.75 | Gyro: 21.1, 1.5, -31.5 || Time: 13075 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: -0.44, 0.17, 0.31 | Gyro: 3.1, -13.7, -21.8 || MPU2 Acc: 0.52, -1.29, 0.26 | Gyro: 19.7, -1.3, -33.1 || Time: 13085 ms
Enc Cnt: 14 | Angle: 3.2° || MPU1 Acc: -1.08, 0.17, 0.25 | Gyro: 3.8, -11.7, -27.5 || MPU2 Acc: -0.14, -1.75, 0.82 | Gyro: 21.2, -2.5, -36.8 || Time: 13096 ms
Enc Cnt: 14 | Angle: 3.5° || MPU1 Acc: -0.72, -0.17, -0.03 | Gyro: 6.2, -13.4, -33.5 || MPU2 Acc: 0.23, -1.52, 0.37 | Gyro: 21.7, -0.2, -40.4 || Time: 13105 ms
Enc Cnt: 14 | Angle: 3.5° || MPU1 Acc: -0.33, -0.41, -0.21 | Gyro: 9.6, -12.1, -38.2 || MPU2 Acc: 0.47, -0.47, 0.24 | Gyro: 20.3, 0.4, -44.1 || Time: 13115 ms
Enc Cnt: 14 | Angle: 3.5° || MPU1 Acc: -0.65, -0.40, -0.40 | Gyro: 17.1, -8.3, -39.6 || MPU2 Acc: 1.03, -0.86, 0.03 | Gyro: 17.4, 7.3, -48.6 || Time: 13127 ms
Enc Cnt: 15 | Angle: 3.7° || MPU1 Acc: -0.62, -0.47, -0.45 | Gyro: 22.4, -8.3, -42.7 || MPU2 Acc: 1.27, -1.16, -0.09 | Gyro: 15.3, 11.8, -51.4 || Time: 13137 ms
Enc Cnt: 15 | Angle: 3.7° || MPU1 Acc: -0.66, -0.56, -0.39 | Gyro: 27.5, -8.7, -45.9 || MPU2 Acc: 1.28, -0.99, -0.32 | Gyro: 14.4, 16.6, -53.5 || Time: 13147 ms
