=== New Logging Session ===
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.00, -0.00, 0.01 | Gyro: 0.1, 0.0, -0.2 || MPU2 Acc: -0.02, -0.02, 0.12 | Gyro: -0.3, 0.0, 0.1 || Time: 12029 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.01, -0.04 | Gyro: 0.0, 0.2, -0.1 || MPU2 Acc: -0.01, 0.02, 0.07 | Gyro: 0.4, -0.1, 0.2 || Time: 12141 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.00, -0.02, 0.04 | Gyro: -0.0, 0.0, 0.0 || MPU2 Acc: -0.01, -0.01, 0.03 | Gyro: -0.4, -0.1, -0.1 || Time: 12151 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.04, 0.05 | Gyro: 0.3, -0.1, -0.1 || MPU2 Acc: -0.05, -0.02, -0.00 | Gyro: 0.1, 0.2, -0.1 || Time: 12161 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.00, -0.05, 0.03 | Gyro: -0.2, -0.2, -0.1 || MPU2 Acc: -0.03, -0.03, 0.04 | Gyro: -0.1, 0.1, 0.1 || Time: 12171 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, 0.05, -0.04 | Gyro: 0.1, 0.0, -0.0 || MPU2 Acc: 0.04, -0.02, 0.02 | Gyro: -0.7, -0.0, -0.1 || Time: 12181 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.01, -0.02, 0.03 | Gyro: 0.1, -0.0, -0.2 || MPU2 Acc: 0.03, 0.04, 0.09 | Gyro: 0.3, 0.2, 0.1 || Time: 12191 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.07, 0.02, 0.02 | Gyro: -0.1, -0.1, -0.1 || MPU2 Acc: 0.03, 0.00, 0.02 | Gyro: -0.1, -0.0, 0.2 || Time: 12201 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, -0.03, 0.05 | Gyro: -0.1, -0.1, -0.0 || MPU2 Acc: 0.01, 0.02, 0.07 | Gyro: -0.3, 0.2, -0.2 || Time: 12211 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.06, 0.12 | Gyro: -0.1, -0.2, 0.2 || MPU2 Acc: 0.05, 0.04, -0.02 | Gyro: 0.4, 0.2, 0.1 || Time: 12221 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.10, -0.05, -0.04 | Gyro: 0.1, 0.0, -0.1 || MPU2 Acc: -0.04, 0.04, 0.05 | Gyro: 0.4, 0.2, 0.2 || Time: 12233 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.00, -0.02, -0.02 | Gyro: -0.1, 0.1, -0.1 || MPU2 Acc: -0.01, 0.03, -0.01 | Gyro: -0.4, 0.0, 0.1 || Time: 12243 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.01, -0.00, 0.03 | Gyro: 0.2, 0.1, -0.1 || MPU2 Acc: 0.01, 0.01, 0.01 | Gyro: -0.3, -0.0, -0.0 || Time: 12253 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.00, 0.11 | Gyro: 0.2, 0.1, -0.1 || MPU2 Acc: 0.03, 0.00, 0.06 | Gyro: 0.2, 0.2, 0.2 || Time: 12264 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, -0.03, 0.06 | Gyro: 0.1, 0.4, -0.3 || MPU2 Acc: -0.03, 0.02, 0.02 | Gyro: 0.0, 0.3, 0.4 || Time: 12274 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.05, 0.01, 0.07 | Gyro: -0.0, 0.3, -0.1 || MPU2 Acc: 0.00, 0.01, -0.04 | Gyro: -0.5, 0.2, -0.0 || Time: 12284 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.01, 0.04 | Gyro: 0.2, 0.3, -0.2 || MPU2 Acc: -0.02, -0.03, -0.07 | Gyro: 0.1, -0.0, 0.1 || Time: 12295 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, -0.02, 0.02 | Gyro: -0.1, -0.0, -0.1 || MPU2 Acc: -0.02, 0.04, 0.01 | Gyro: -0.2, 0.2, 0.4 || Time: 12304 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.08, 0.05, 0.03 | Gyro: -0.1, 0.1, -0.0 || MPU2 Acc: 0.06, 0.05, 0.09 | Gyro: -0.4, -0.1, -0.1 || Time: 12314 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.01, 0.04, 0.08 | Gyro: 0.1, 0.2, -0.1 || MPU2 Acc: -0.02, -0.04, -0.01 | Gyro: 0.5, 0.0, 0.3 || Time: 12324 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.07, 0.02, 0.03 | Gyro: 0.2, 0.0, -0.1 || MPU2 Acc: -0.02, 0.03, 0.01 | Gyro: 0.2, 0.1, 0.2 || Time: 12335 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, -0.03, -0.07 | Gyro: -0.1, -0.1, -0.1 || MPU2 Acc: 0.01, -0.02, -0.03 | Gyro: -0.6, 0.1, -0.3 || Time: 12345 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.07, 0.02, 0.01 | Gyro: -0.1, -0.1, 0.2 || MPU2 Acc: -0.01, -0.00, -0.04 | Gyro: 0.1, -0.0, -0.1 || Time: 12355 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.00, -0.01, 0.04 | Gyro: 0.1, 0.1, 0.0 || MPU2 Acc: -0.04, 0.00, -0.03 | Gyro: -0.1, -0.0, 0.0 || Time: 12365 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, -0.00, 0.14 | Gyro: -0.2, -0.2, -0.1 || MPU2 Acc: 0.01, -0.06, -0.04 | Gyro: -0.4, 0.1, -0.3 || Time: 12375 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, -0.01, 0.02 | Gyro: -0.0, -0.1, -0.1 || MPU2 Acc: -0.06, 0.00, -0.02 | Gyro: 0.3, -0.1, -0.4 || Time: 12385 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.00, 0.00, -0.03 | Gyro: -0.1, 0.1, -0.2 || MPU2 Acc: -0.02, -0.02, 0.04 | Gyro: 0.5, -0.0, -0.2 || Time: 12397 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, 0.06, -0.07 | Gyro: 0.1, 0.1, -0.1 || MPU2 Acc: 0.05, 0.05, -0.02 | Gyro: -0.3, -0.1, -0.5 || Time: 12406 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.03, -0.04, 0.06 | Gyro: 0.1, 0.2, -0.1 || MPU2 Acc: -0.07, -0.01, 0.06 | Gyro: 0.3, -0.1, -0.4 || Time: 12416 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.02, -0.02, 0.05 | Gyro: 0.2, -0.1, -0.1 || MPU2 Acc: 0.00, 0.02, -0.03 | Gyro: 0.4, 0.2, -0.0 || Time: 12427 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.01, 0.02, 0.03 | Gyro: 0.1, -0.3, -0.1 || MPU2 Acc: 0.02, -0.02, 0.05 | Gyro: -0.4, -0.1, -0.2 || Time: 12436 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.02, -0.01, -0.02 | Gyro: -0.0, 0.0, -0.3 || MPU2 Acc: -0.01, -0.01, 0.00 | Gyro: 0.4, 0.0, -0.4 || Time: 12446 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.02, 0.01 | Gyro: 0.2, -0.2, 0.1 || MPU2 Acc: -0.04, 0.02, -0.01 | Gyro: -0.0, 0.0, 0.1 || Time: 12456 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, 0.05, 0.01 | Gyro: 0.1, 0.0, -0.1 || MPU2 Acc: 0.03, -0.05, 0.01 | Gyro: -0.6, -0.2, -0.2 || Time: 12467 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.02, -0.00, 0.09 | Gyro: -0.0, 0.1, -0.1 || MPU2 Acc: 0.01, -0.03, -0.01 | Gyro: 0.0, -0.2, -0.1 || Time: 12477 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, -0.02, 0.01 | Gyro: 0.1, 0.3, -0.1 || MPU2 Acc: -0.07, -0.01, 0.09 | Gyro: 0.2, -0.0, 0.1 || Time: 12487 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.04, -0.03, -0.03 | Gyro: 0.2, 0.3, -0.0 || MPU2 Acc: 0.01, 0.02, 0.02 | Gyro: -0.5, -0.2, 0.0 || Time: 12497 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.08, -0.02, 0.05 | Gyro: -0.0, 0.2, -0.1 || MPU2 Acc: 0.04, -0.06, 0.07 | Gyro: 0.1, -0.1, -0.1 || Time: 12507 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.00, 0.00, 0.02 | Gyro: -0.2, 0.2, 0.1 || MPU2 Acc: -0.01, -0.03, -0.04 | Gyro: 0.0, 0.0, 0.3 || Time: 12517 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.03, 0.06, 0.05 | Gyro: 0.0, 0.0, 0.0 || MPU2 Acc: 0.04, 0.03, -0.01 | Gyro: -0.2, 0.0, 0.2 || Time: 12529 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.01, -0.01, 0.08 | Gyro: -0.1, 0.1, -0.0 || MPU2 Acc: 0.02, 0.04, 0.02 | Gyro: -0.0, -0.1, -0.2 || Time: 12538 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.05, 0.01, 0.08 | Gyro: 0.3, 0.2, 0.1 || MPU2 Acc: 0.06, 0.03, 0.03 | Gyro: 0.2, 0.2, -0.0 || Time: 12548 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.06, -0.00, -0.01 | Gyro: -0.1, 0.1, -0.0 || MPU2 Acc: 0.02, 0.03, -0.03 | Gyro: -0.2, -0.1, -0.1 || Time: 12558 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.00, 0.05, -0.02 | Gyro: 0.0, -0.2, 0.1 || MPU2 Acc: 0.04, 0.09, 0.05 | Gyro: 0.6, 0.2, 0.4 || Time: 12568 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.05, -0.02, -0.04 | Gyro: -0.2, -0.1, -0.1 || MPU2 Acc: 0.01, -0.02, 0.09 | Gyro: -0.4, -0.1, 0.1 || Time: 12578 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.06, -0.02, 0.03 | Gyro: -0.3, 0.2, -0.1 || MPU2 Acc: 0.05, -0.00, -0.01 | Gyro: -0.3, 0.0, -0.2 || Time: 12588 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.04, 0.02, 0.08 | Gyro: 0.0, 0.1, -0.0 || MPU2 Acc: 0.00, -0.00, 0.02 | Gyro: -0.2, 0.1, 0.1 || Time: 12600 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.01, -0.03, -0.01 | Gyro: 0.1, -0.1, 0.0 || MPU2 Acc: 0.00, -0.06, -0.03 | Gyro: 0.1, 0.0, 0.4 || Time: 12609 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, -0.01, 0.07 | Gyro: -0.2, 0.2, -0.0 || MPU2 Acc: 0.01, -0.01, 0.11 | Gyro: -0.5, 0.0, -0.2 || Time: 12619 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, -0.02, 0.01 | Gyro: 0.0, 0.0, -0.1 || MPU2 Acc: -0.05, 0.03, -0.05 | Gyro: -0.0, -0.0, -0.0 || Time: 12630 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.03, 0.03, 0.09 | Gyro: -0.1, -0.1, -0.0 || MPU2 Acc: -0.06, -0.02, 0.05 | Gyro: -0.2, -0.1, 0.1 || Time: 12639 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.01, 0.01, 0.07 | Gyro: -0.0, 0.3, -0.1 || MPU2 Acc: 0.01, -0.03, 0.00 | Gyro: -0.2, -0.2, -0.2 || Time: 12649 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.05, -0.02, 0.04 | Gyro: -0.3, 0.0, -0.0 || MPU2 Acc: -0.00, -0.04, 0.09 | Gyro: -0.1, -0.2, -0.2 || Time: 12661 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.03, -0.04, -0.02 | Gyro: 0.2, 0.1, -0.1 || MPU2 Acc: 0.05, -0.02, 0.03 | Gyro: 0.5, -0.2, 0.1 || Time: 12671 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.04, -0.04, -0.02 | Gyro: 0.2, 0.4, -0.1 || MPU2 Acc: 0.01, -0.02, -0.13 | Gyro: -0.4, -0.1, 0.1 || Time: 12681 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.00, 0.06, 0.07 | Gyro: -0.1, 0.0, -0.1 || MPU2 Acc: -0.02, 0.04, 0.03 | Gyro: -0.1, -0.2, 0.0 || Time: 12691 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.04, -0.01, 0.07 | Gyro: -0.0, -0.1, 0.1 || MPU2 Acc: -0.04, -0.00, 0.03 | Gyro: 0.2, 0.2, 0.4 || Time: 12701 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.00, -0.02, -0.02 | Gyro: 0.2, 0.4, -0.3 || MPU2 Acc: -0.01, -0.01, 0.00 | Gyro: -0.6, -0.1, 0.0 || Time: 12711 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.02, -0.02, 0.07 | Gyro: -0.0, 0.1, -0.1 || MPU2 Acc: -0.00, 0.02, 0.03 | Gyro: -0.3, 0.1, -0.0 || Time: 12721 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.00, -0.01, -0.04 | Gyro: -0.2, 0.3, -0.0 || MPU2 Acc: 0.02, 0.01, 0.05 | Gyro: -0.1, -0.0, -0.0 || Time: 12732 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.05, -0.00, -0.02 | Gyro: 0.1, 0.2, 0.0 || MPU2 Acc: -0.01, -0.02, 0.03 | Gyro: -0.4, -0.1, 0.1 || Time: 12742 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.04, 0.02, -0.03 | Gyro: 0.1, 0.3, -0.2 || MPU2 Acc: 0.01, 0.03, -0.05 | Gyro: -0.5, -0.2, -0.1 || Time: 12752 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.03, -0.02, 0.02 | Gyro: 0.3, 0.3, -0.3 || MPU2 Acc: -0.01, 0.00, -0.06 | Gyro: 0.5, -0.1, 0.1 || Time: 12762 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, -0.00, 0.09 | Gyro: 0.0, 0.3, 0.1 || MPU2 Acc: 0.05, 0.00, 0.04 | Gyro: -0.3, -0.2, -0.2 || Time: 12772 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, -0.01, 0.01 | Gyro: 0.1, -0.1, 0.1 || MPU2 Acc: -0.04, -0.05, 0.01 | Gyro: -0.2, 0.1, -0.2 || Time: 12782 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.06, -0.02, -0.02 | Gyro: -0.2, -0.1, 0.1 || MPU2 Acc: 0.05, -0.01, 0.01 | Gyro: -0.0, 0.1, -0.0 || Time: 12794 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.00, -0.01, 0.01 | Gyro: -0.1, 0.1, 0.2 || MPU2 Acc: -0.01, 0.01, -0.01 | Gyro: 0.5, -0.1, -0.0 || Time: 12804 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.01, 0.03, -0.06 | Gyro: -0.2, -0.1, -0.1 || MPU2 Acc: -0.01, -0.02, 0.05 | Gyro: -0.6, -0.1, -0.4 || Time: 12814 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.00, 0.04, 0.03 | Gyro: -0.1, 0.2, -0.2 || MPU2 Acc: -0.03, 0.01, -0.01 | Gyro: -0.3, -0.2, -0.2 || Time: 12825 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.03, 0.05, 0.10 | Gyro: 0.3, -0.1, -0.1 || MPU2 Acc: -0.04, 0.02, -0.05 | Gyro: 0.4, 0.1, -0.3 || Time: 12835 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, 0.01, 0.05 | Gyro: 0.2, 0.1, -0.3 || MPU2 Acc: 0.02, 0.01, 0.04 | Gyro: -0.1, -0.0, -0.2 || Time: 12845 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.02, 0.03, 0.05 | Gyro: -0.0, -0.2, -0.2 || MPU2 Acc: 0.03, -0.00, 0.12 | Gyro: -0.2, -0.0, -0.5 || Time: 12855 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.03, -0.02, -0.01 | Gyro: -0.0, 0.0, 0.0 || MPU2 Acc: 0.03, 0.04, 0.01 | Gyro: 0.0, 0.1, -0.1 || Time: 12866 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, -0.02, -0.04 | Gyro: 0.1, 0.1, 0.0 || MPU2 Acc: 0.05, 0.00, -0.11 | Gyro: -0.0, 0.1, -0.0 || Time: 12876 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.01, -0.03, 0.03 | Gyro: 0.1, -0.1, 0.1 || MPU2 Acc: 0.04, -0.02, -0.03 | Gyro: -0.1, 0.0, -0.2 || Time: 12886 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.04, 0.03, 0.01 | Gyro: 0.1, -0.0, 0.1 || MPU2 Acc: 0.00, -0.01, -0.01 | Gyro: 0.6, 0.1, -0.0 || Time: 12897 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.04, 0.01, 0.08 | Gyro: -0.1, -0.2, 0.0 || MPU2 Acc: -0.03, -0.01, 0.00 | Gyro: -0.2, 0.1, 0.0 || Time: 12906 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.03, -0.03, -0.05 | Gyro: 0.1, 0.3, -0.2 || MPU2 Acc: -0.02, -0.02, 0.05 | Gyro: 0.3, -0.1, -0.0 || Time: 12916 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.05, -0.01, 0.07 | Gyro: 0.1, -0.0, 0.1 || MPU2 Acc: -0.01, -0.05, -0.07 | Gyro: 0.1, 0.1, 0.1 || Time: 12928 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.00, -0.07, 0.01 | Gyro: -0.1, 0.0, -0.0 || MPU2 Acc: 0.04, -0.02, -0.06 | Gyro: 0.6, 0.1, 0.5 || Time: 12938 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.02, 0.02, 0.01 | Gyro: 0.0, -0.0, 0.1 || MPU2 Acc: -0.02, 0.02, -0.01 | Gyro: -0.5, 0.1, 0.3 || Time: 12948 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.03, -0.05, 0.03 | Gyro: 0.1, -0.0, -0.1 || MPU2 Acc: 0.02, 0.02, -0.04 | Gyro: 0.3, 0.0, 0.2 || Time: 12958 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.04, 0.01, 0.02 | Gyro: 0.0, 0.0, -0.0 || MPU2 Acc: -0.05, 0.05, 0.07 | Gyro: 0.4, 0.2, 0.6 || Time: 12968 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.04, 0.03, 0.01 | Gyro: -0.3, -0.1, 0.1 || MPU2 Acc: 0.03, 0.02, 0.06 | Gyro: -0.5, 0.1, 0.3 || Time: 12978 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.03, 0.05, 0.10 | Gyro: 0.2, 0.2, -0.1 || MPU2 Acc: -0.04, 0.03, 0.03 | Gyro: 0.5, -0.0, 0.5 || Time: 12988 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.05, 0.06 | Gyro: -0.0, 0.4, -0.1 || MPU2 Acc: -0.02, 0.01, 0.01 | Gyro: 0.0, -0.0, 0.5 || Time: 13000 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.00, -0.02, 0.06 | Gyro: 0.1, 0.2, 0.1 || MPU2 Acc: 0.02, 0.06, 0.07 | Gyro: 0.4, -0.1, 0.5 || Time: 13010 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.00, 0.05, 0.02 | Gyro: -0.2, 0.2, 0.1 || MPU2 Acc: -0.09, 0.02, 0.01 | Gyro: -0.1, -0.2, 0.5 || Time: 13020 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.03, 0.00 | Gyro: 0.1, 0.3, -0.1 || MPU2 Acc: 0.00, 0.01, -0.05 | Gyro: -0.1, 0.0, 0.3 || Time: 13031 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.11, -0.03, 0.01 | Gyro: 0.1, -0.0, -0.3 || MPU2 Acc: -0.03, -0.02, -0.03 | Gyro: -0.4, -0.2, 0.3 || Time: 13041 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, -0.02, 0.05 | Gyro: -0.1, -0.1, -0.1 || MPU2 Acc: 0.06, -0.01, 0.05 | Gyro: 0.4, -0.0, 0.6 || Time: 13051 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.03, -0.03, -0.02 | Gyro: -0.2, 0.0, 0.0 || MPU2 Acc: -0.01, 0.01, -0.06 | Gyro: 0.0, -0.1, 0.6 || Time: 13062 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.00, 0.03, 0.07 | Gyro: 0.0, 0.1, -0.1 || MPU2 Acc: 0.01, 0.03, 0.06 | Gyro: -0.2, -0.1, 0.4 || Time: 13071 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.04, 0.02 | Gyro: 0.1, 0.5, -0.2 || MPU2 Acc: 0.02, -0.01, -0.08 | Gyro: 0.4, 0.1, 0.9 || Time: 13081 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.06, 0.05, 0.01 | Gyro: -0.1, 0.3, 0.0 || MPU2 Acc: -0.01, 0.03, -0.07 | Gyro: -0.3, 0.0, 0.6 || Time: 13091 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.01, 0.08 | Gyro: -0.1, 0.4, -0.1 || MPU2 Acc: -0.01, 0.00, -0.00 | Gyro: -0.4, -0.1, 0.7 || Time: 13102 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.02, 0.08, 0.09 | Gyro: 0.1, 0.6, -0.2 || MPU2 Acc: -0.03, 0.02, 0.03 | Gyro: -0.1, -0.3, 0.7 || Time: 13112 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, 0.00, 0.00 | Gyro: -0.2, 0.4, 0.1 || MPU2 Acc: 0.02, 0.01, 0.01 | Gyro: 0.4, 0.0, 0.9 || Time: 13122 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.03, -0.01, 0.03 | Gyro: 0.3, 0.6, -0.2 || MPU2 Acc: 0.02, 0.01, -0.04 | Gyro: 0.0, 0.2, 1.1 || Time: 13133 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.01, 0.03, -0.01 | Gyro: 0.0, 0.2, 0.0 || MPU2 Acc: 0.00, -0.02, -0.01 | Gyro: -0.3, -0.2, 0.7 || Time: 13142 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.00, 0.01, 0.05 | Gyro: -0.1, 0.1, -0.2 || MPU2 Acc: 0.05, -0.01, -0.01 | Gyro: 0.5, 0.1, 1.0 || Time: 13152 ms
