=== New Logging Session ===
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.05, 0.03, 0.00 | Gyro: -0.3, -0.1, -0.1 || MPU2 Acc: 0.02, -0.05, 0.03 | Gyro: 0.6, 0.1, 0.1 || Time: 12052 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.02, -0.03, 0.05 | Gyro: -0.0, 0.0, -0.2 || MPU2 Acc: -0.02, 0.01, 0.03 | Gyro: 0.2, -0.1, -0.3 || Time: 12364 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.04, 0.03, 0.05 | Gyro: 0.2, -0.1, -0.1 || MPU2 Acc: -0.06, -0.01, 0.01 | Gyro: 0.5, -0.0, 0.1 || Time: 12374 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, -0.04, 0.01 | Gyro: 0.0, -0.3, 0.1 || MPU2 Acc: -0.02, -0.00, 0.00 | Gyro: 0.0, 0.1, -0.2 || Time: 12384 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.07, 0.01, -0.04 | Gyro: 0.1, -0.1, -0.2 || MPU2 Acc: -0.03, -0.02, 0.06 | Gyro: 0.3, -0.0, -0.2 || Time: 12394 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.01, 0.05, 0.00 | Gyro: 0.0, 0.1, -0.1 || MPU2 Acc: -0.02, 0.02, -0.00 | Gyro: 0.3, -0.0, -0.1 || Time: 12404 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.05, 0.02, 0.00 | Gyro: -0.1, -0.1, 0.0 || MPU2 Acc: 0.00, 0.01, 0.03 | Gyro: 0.8, 0.1, 0.0 || Time: 12414 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, -0.02, 0.04 | Gyro: 0.4, 0.3, 0.0 || MPU2 Acc: 0.04, 0.02, 0.05 | Gyro: 0.5, -0.0, 0.1 || Time: 12425 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.04, 0.02, 0.03 | Gyro: 0.2, 0.1, -0.3 || MPU2 Acc: 0.01, -0.06, -0.04 | Gyro: -0.1, -0.2, -0.4 || Time: 12434 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, 0.02, 0.04 | Gyro: -0.1, -0.1, 0.0 || MPU2 Acc: -0.01, 0.01, 0.00 | Gyro: 0.8, -0.0, 0.1 || Time: 12444 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, -0.03, -0.06 | Gyro: 0.0, 0.1, -0.4 || MPU2 Acc: 0.02, -0.02, -0.06 | Gyro: 0.0, -0.3, -0.1 || Time: 12454 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, -0.03, -0.04 | Gyro: 0.1, 0.1, -0.1 || MPU2 Acc: 0.04, 0.06, 0.03 | Gyro: 0.1, -0.1, -0.3 || Time: 12464 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.05, -0.02, -0.06 | Gyro: 0.0, 0.1, 0.1 || MPU2 Acc: 0.04, 0.03, 0.09 | Gyro: 0.7, 0.0, 0.1 || Time: 12474 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.00, -0.02, -0.05 | Gyro: -0.1, 0.1, -0.0 || MPU2 Acc: 0.01, 0.02, 0.04 | Gyro: 0.1, -0.0, 0.2 || Time: 12484 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, -0.00, -0.02 | Gyro: 0.0, 0.1, -0.1 || MPU2 Acc: 0.06, 0.02, -0.09 | Gyro: -0.4, -0.1, -0.1 || Time: 12494 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, 0.03, -0.02 | Gyro: 0.1, 0.1, -0.3 || MPU2 Acc: -0.04, 0.01, 0.05 | Gyro: 0.3, 0.1, 0.1 || Time: 12504 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.05, -0.03, -0.06 | Gyro: -0.1, 0.2, -0.0 || MPU2 Acc: -0.03, 0.03, 0.01 | Gyro: 0.3, -0.1, 0.3 || Time: 12514 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.04, 0.03, 0.02 | Gyro: 0.0, 0.3, -0.3 || MPU2 Acc: -0.03, -0.00, 0.08 | Gyro: -0.3, -0.2, 0.1 || Time: 12525 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.04, 0.01, -0.07 | Gyro: -0.0, 0.2, -0.1 || MPU2 Acc: -0.03, 0.01, 0.06 | Gyro: -0.1, -0.0, 0.0 || Time: 12534 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.00, -0.04, -0.00 | Gyro: 0.0, 0.3, -0.2 || MPU2 Acc: 0.00, 0.01, 0.00 | Gyro: 0.4, 0.0, 0.2 || Time: 12544 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.03, -0.02, -0.02 | Gyro: -0.1, -0.1, -0.0 || MPU2 Acc: 0.01, 0.00, -0.00 | Gyro: -0.4, -0.1, 0.0 || Time: 12554 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.05, -0.02, -0.01 | Gyro: -0.0, 0.3, -0.2 || MPU2 Acc: -0.00, 0.01, 0.04 | Gyro: -0.1, 0.0, -0.0 || Time: 12564 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.04, 0.02, -0.06 | Gyro: 0.0, 0.4, -0.1 || MPU2 Acc: 0.06, 0.01, 0.05 | Gyro: 0.2, 0.1, 0.2 || Time: 12574 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, 0.04, -0.02 | Gyro: -0.1, 0.2, 0.1 || MPU2 Acc: -0.05, 0.03, 0.03 | Gyro: 0.3, -0.0, 0.4 || Time: 12586 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.07, -0.01, -0.04 | Gyro: -0.1, 0.1, -0.0 || MPU2 Acc: 0.01, 0.01, -0.03 | Gyro: -0.5, 0.0, 0.1 || Time: 12595 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.03, 0.01, -0.07 | Gyro: -0.1, 0.2, -0.0 || MPU2 Acc: 0.05, 0.02, 0.03 | Gyro: 0.4, 0.2, 0.4 || Time: 12605 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.06, -0.04, -0.03 | Gyro: -0.2, 0.1, -0.1 || MPU2 Acc: 0.05, -0.03, -0.01 | Gyro: -0.6, 0.1, 0.4 || Time: 12615 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.01, 0.02, 0.01 | Gyro: -0.1, 0.3, -0.1 || MPU2 Acc: -0.03, -0.10, 0.04 | Gyro: -0.5, 0.2, 0.3 || Time: 12625 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.00, 0.04, 0.04 | Gyro: -0.2, 0.2, -0.1 || MPU2 Acc: -0.05, 0.05, -0.05 | Gyro: 0.2, 0.0, 0.5 || Time: 12635 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.00, -0.04, 0.00 | Gyro: -0.5, 0.0, 0.0 || MPU2 Acc: 0.00, 0.04, 0.01 | Gyro: -0.2, 0.2, 0.4 || Time: 12645 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, -0.05, -0.04 | Gyro: -0.2, 0.2, -0.2 || MPU2 Acc: -0.01, 0.02, -0.06 | Gyro: -0.4, -0.0, -0.0 || Time: 12655 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.03, 0.01, 0.08 | Gyro: -0.0, 0.3, -0.2 || MPU2 Acc: 0.01, 0.03, -0.00 | Gyro: -0.0, -0.0, -0.2 || Time: 12665 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.01, 0.02, 0.03 | Gyro: -0.4, 0.0, 0.1 || MPU2 Acc: 0.04, -0.03, -0.04 | Gyro: 0.5, 0.1, 0.3 || Time: 12675 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, 0.07, -0.01 | Gyro: 0.2, 0.2, -0.1 || MPU2 Acc: -0.02, 0.09, 0.08 | Gyro: 0.2, 0.1, 0.2 || Time: 12686 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.00, 0.02, -0.02 | Gyro: -0.0, 0.2, 0.0 || MPU2 Acc: -0.00, 0.06, 0.00 | Gyro: -0.2, -0.0, -0.3 || Time: 12696 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, -0.00, -0.11 | Gyro: -0.1, 0.3, -0.2 || MPU2 Acc: -0.02, -0.01, -0.03 | Gyro: 0.4, 0.0, -0.1 || Time: 12706 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.03, -0.02, 0.01 | Gyro: 0.0, 0.2, -0.2 || MPU2 Acc: -0.06, 0.01, -0.04 | Gyro: 0.3, 0.0, -0.1 || Time: 12717 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, 0.00, -0.11 | Gyro: -0.1, 0.2, -0.2 || MPU2 Acc: -0.00, -0.01, 0.07 | Gyro: -0.5, -0.1, -0.2 || Time: 12727 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.01, -0.04, -0.01 | Gyro: -0.1, 0.4, -0.1 || MPU2 Acc: -0.01, -0.01, -0.01 | Gyro: -0.1, -0.0, -0.3 || Time: 12737 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.09, 0.03, -0.02 | Gyro: -0.1, 0.0, -0.2 || MPU2 Acc: -0.04, -0.03, 0.05 | Gyro: 0.7, -0.0, -0.1 || Time: 12747 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.04, -0.08, 0.05 | Gyro: 0.1, 0.6, -0.5 || MPU2 Acc: 0.01, -0.01, 0.01 | Gyro: 0.3, -0.1, 0.0 || Time: 12758 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.01, 0.04, 0.05 | Gyro: 0.0, 0.2, -0.1 || MPU2 Acc: -0.03, -0.02, -0.04 | Gyro: -0.2, -0.1, -0.3 || Time: 12768 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, -0.01, -0.09 | Gyro: -0.3, 0.2, -0.1 || MPU2 Acc: -0.03, 0.01, -0.05 | Gyro: 0.3, 0.1, -0.5 || Time: 12778 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.02, 0.09, -0.10 | Gyro: 0.1, 0.0, -0.0 || MPU2 Acc: -0.04, 0.01, -0.03 | Gyro: 0.6, -0.2, -0.3 || Time: 12789 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.03, -0.05, -0.04 | Gyro: -0.1, 0.1, 0.1 || MPU2 Acc: -0.03, 0.03, -0.04 | Gyro: -0.2, -0.3, -0.8 || Time: 12798 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.04, 0.05, 0.00 | Gyro: -0.1, -0.0, -0.1 || MPU2 Acc: 0.03, -0.04, -0.00 | Gyro: 0.4, -0.3, -0.7 || Time: 12808 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.01, 0.03, -0.01 | Gyro: -0.2, -0.0, -0.1 || MPU2 Acc: 0.10, 0.04, -0.01 | Gyro: 0.5, -0.3, -0.4 || Time: 12818 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.00, 0.00, -0.04 | Gyro: 0.1, 0.2, -0.3 || MPU2 Acc: 0.05, -0.04, 0.00 | Gyro: -0.2, -0.3, -0.6 || Time: 12828 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.02, -0.06, -0.01 | Gyro: -0.0, 0.2, 0.0 || MPU2 Acc: 0.08, 0.03, -0.08 | Gyro: 0.2, -0.2, -0.6 || Time: 12838 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.06, 0.04, -0.04 | Gyro: -0.5, -0.2, 0.1 || MPU2 Acc: 0.02, 0.03, -0.01 | Gyro: 0.1, -0.1, -0.1 || Time: 12848 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.00, 0.01, -0.04 | Gyro: -0.1, 0.1, -0.1 || MPU2 Acc: 0.05, -0.03, -0.03 | Gyro: -0.2, -0.2, -0.1 || Time: 12859 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, -0.03, 0.02 | Gyro: -0.0, 0.0, 0.1 || MPU2 Acc: 0.02, 0.01, 0.04 | Gyro: 0.0, -0.1, -0.1 || Time: 12868 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, 0.05, -0.06 | Gyro: -0.2, -0.0, -0.1 || MPU2 Acc: -0.02, 0.01, 0.01 | Gyro: 0.4, -0.1, 0.2 || Time: 12878 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.06, 0.02, 0.07 | Gyro: -0.1, 0.1, 0.0 || MPU2 Acc: 0.03, -0.01, -0.05 | Gyro: -0.4, 0.2, 0.1 || Time: 12888 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.02, -0.04, -0.04 | Gyro: -0.2, -0.0, -0.0 || MPU2 Acc: 0.02, 0.02, 0.01 | Gyro: 0.4, 0.1, -0.0 || Time: 12898 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.00, 0.04, -0.00 | Gyro: -0.1, 0.3, -0.3 || MPU2 Acc: 0.01, 0.01, 0.04 | Gyro: 0.2, 0.0, 0.2 || Time: 12908 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.04, 0.04, -0.05 | Gyro: -0.1, 0.2, -0.1 || MPU2 Acc: -0.10, -0.00, -0.03 | Gyro: -0.1, 0.0, 0.2 || Time: 12920 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, -0.01, -0.01 | Gyro: -0.3, 0.2, -0.3 || MPU2 Acc: 0.00, 0.02, 0.02 | Gyro: -0.1, -0.2, -0.1 || Time: 12929 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.04, -0.03, 0.00 | Gyro: -0.2, 0.1, -0.0 || MPU2 Acc: -0.03, 0.03, -0.02 | Gyro: 0.5, 0.1, 0.0 || Time: 12939 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.00, 0.04, -0.04 | Gyro: -0.1, -0.1, -0.3 || MPU2 Acc: -0.03, 0.03, 0.02 | Gyro: -0.0, -0.2, -0.1 || Time: 12949 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.00, -0.05, 0.03 | Gyro: 0.5, 0.3, -0.3 || MPU2 Acc: -0.01, 0.05, 0.01 | Gyro: 0.1, -0.0, -0.5 || Time: 12959 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, 0.02, -0.07 | Gyro: -0.2, -0.2, 0.1 || MPU2 Acc: 0.01, 0.02, -0.02 | Gyro: 0.8, 0.2, -0.2 || Time: 12969 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.01, -0.02, -0.03 | Gyro: -0.1, -0.2, -0.1 || MPU2 Acc: -0.01, 0.04, -0.04 | Gyro: 0.1, 0.3, -0.3 || Time: 12979 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, 0.06, 0.01 | Gyro: -0.3, -0.2, 0.0 || MPU2 Acc: -0.00, 0.01, -0.03 | Gyro: 0.3, 0.4, -0.4 || Time: 12991 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.07, -0.06, 0.04 | Gyro: -0.2, -0.5, -0.0 || MPU2 Acc: 0.00, -0.00, -0.02 | Gyro: 0.5, 0.4, -0.9 || Time: 13000 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, -0.02, -0.10 | Gyro: -0.3, -0.7, -0.0 || MPU2 Acc: -0.03, -0.03, -0.09 | Gyro: 1.3, 0.3, -0.6 || Time: 13010 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, 0.04, -0.11 | Gyro: -0.3, -0.6, -0.1 || MPU2 Acc: -0.02, 0.00, -0.01 | Gyro: 1.1, 0.2, -1.1 || Time: 13021 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.00, -0.03, 0.02 | Gyro: -0.1, -0.4, -0.1 || MPU2 Acc: -0.19, 0.00, -0.03 | Gyro: 0.5, -0.5, -2.1 || Time: 13031 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, -0.02, -0.00 | Gyro: -0.2, -0.6, -0.2 || MPU2 Acc: -0.04, -0.01, -0.04 | Gyro: 1.7, -0.5, -2.6 || Time: 13041 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.00, 0.01, 0.02 | Gyro: -0.2, -1.0, 0.1 || MPU2 Acc: 0.02, 0.05, 0.04 | Gyro: 1.6, -0.4, -2.5 || Time: 13051 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.02, -0.04, -0.19 | Gyro: -0.0, -0.7, -0.2 || MPU2 Acc: -0.01, 0.04, 0.09 | Gyro: 1.0, -0.4, -2.9 || Time: 13061 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.02, 0.01, 0.04 | Gyro: 0.3, -0.3, -0.3 || MPU2 Acc: -0.04, 0.03, 0.05 | Gyro: 1.9, -0.4, -3.0 || Time: 13071 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -0.01, -0.01, -0.05 | Gyro: 0.4, -0.5, -0.1 || MPU2 Acc: -0.09, 0.02, 0.05 | Gyro: 0.9, -0.7, -3.4 || Time: 13081 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.01, 0.02, -0.02 | Gyro: 0.1, -0.3, -0.3 || MPU2 Acc: 0.10, 0.03, 0.09 | Gyro: 0.7, -0.8, -3.5 || Time: 13092 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.01, 0.02, 0.07 | Gyro: 0.3, -0.1, -0.3 || MPU2 Acc: 0.12, 0.03, 0.08 | Gyro: 1.3, -0.9, -2.8 || Time: 13101 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -0.05, 0.02, 0.03 | Gyro: 0.3, 0.1, -0.2 || MPU2 Acc: -0.02, 0.07, 0.06 | Gyro: 0.4, -0.9, -3.2 || Time: 13111 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.00, 0.02, 0.02 | Gyro: 0.3, -0.1, -0.1 || MPU2 Acc: 0.18, 0.01, 0.05 | Gyro: 0.4, -0.8, -2.8 || Time: 13121 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: -0.04, 0.04, -0.01 | Gyro: -0.0, -0.1, -0.1 || MPU2 Acc: 0.18, 0.04, 0.07 | Gyro: 0.8, -0.5, -2.0 || Time: 13131 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: -0.06, 0.03, -0.03 | Gyro: -0.2, -0.1, 0.1 || MPU2 Acc: 0.09, 0.16, -0.06 | Gyro: 0.2, 0.0, -1.3 || Time: 13141 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: -0.02, 0.04, -0.05 | Gyro: -0.1, -0.2, -0.0 || MPU2 Acc: 0.14, 0.08, -0.12 | Gyro: 0.1, -0.0, -1.1 || Time: 13153 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: -0.05, 0.02, -0.03 | Gyro: -0.1, 0.3, -0.1 || MPU2 Acc: 0.10, -0.01, 0.12 | Gyro: -0.4, -0.3, -1.4 || Time: 13163 ms
