=== New Logging Session ===
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.00, 0.01, 0.03 | Gyro: -0.1, -0.1, 0.1 || MPU2 Acc: 0.03, 0.04, 0.07 | Gyro: 0.1, -0.3, 0.0 || Time: 12042 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.02, -0.00, 0.02 | Gyro: -0.3, -0.1, -0.0 || MPU2 Acc: -0.00, -0.03, 0.06 | Gyro: 0.2, 0.0, 0.6 || Time: 12224 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.00, 0.01, 0.08 | Gyro: 0.3, 0.3, -0.1 || MPU2 Acc: -0.06, -0.07, -0.01 | Gyro: -0.7, -0.2, 0.3 || Time: 12234 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.03, 0.05, 0.04 | Gyro: 0.1, -0.1, -0.0 || MPU2 Acc: -0.05, 0.06, 0.10 | Gyro: -0.1, -0.5, 0.1 || Time: 12244 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.00, -0.01, -0.09 | Gyro: 0.0, 0.2, -0.2 || MPU2 Acc: 0.04, 0.01, 0.10 | Gyro: 0.3, -0.1, 0.4 || Time: 12254 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.02, 0.02, 0.11 | Gyro: -0.2, -0.1, -0.1 || MPU2 Acc: -0.06, -0.01, 0.06 | Gyro: -0.6, -0.1, -0.0 || Time: 12264 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.01, -0.04, 0.05 | Gyro: -0.1, -0.0, -0.2 || MPU2 Acc: 0.09, -0.02, 0.07 | Gyro: -0.2, -0.3, -0.1 || Time: 12276 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.07, -0.01, 0.09 | Gyro: -0.0, 0.1, -0.2 || MPU2 Acc: 0.04, 0.04, 0.07 | Gyro: 0.2, -0.1, 0.5 || Time: 12285 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.03, 0.03, 0.13 | Gyro: -0.1, -0.0, 0.2 || MPU2 Acc: -0.05, 0.02, -0.01 | Gyro: -0.7, -0.2, 0.3 || Time: 12295 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.05, 0.02, 0.05 | Gyro: 0.1, -0.1, -0.1 || MPU2 Acc: -0.02, -0.03, 0.07 | Gyro: -0.8, -0.0, 0.1 || Time: 12305 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.01, 0.02, 0.05 | Gyro: -0.3, -0.0, -0.1 || MPU2 Acc: -0.07, -0.01, 0.08 | Gyro: 0.3, -0.3, 0.4 || Time: 12315 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.02, -0.01, 0.09 | Gyro: 0.2, 0.1, -0.3 || MPU2 Acc: -0.02, -0.03, -0.02 | Gyro: -0.6, -0.3, 0.1 || Time: 12325 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.09, 0.02, 0.08 | Gyro: -0.0, -0.0, 0.0 || MPU2 Acc: -0.03, 0.07, 0.07 | Gyro: -0.5, -0.5, 0.1 || Time: 12335 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.01, 0.00, 0.08 | Gyro: 0.1, 0.2, -0.1 || MPU2 Acc: -0.04, 0.02, 0.00 | Gyro: -0.6, -0.2, 0.3 || Time: 12379 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.07, -0.04, 0.10 | Gyro: -0.3, -0.1, 0.1 || MPU2 Acc: -0.00, 0.03, 0.05 | Gyro: 0.2, -0.1, 0.5 || Time: 12388 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.00, -0.02, 0.10 | Gyro: 0.1, 0.1, -0.2 || MPU2 Acc: -0.02, -0.01, -0.02 | Gyro: -0.6, -0.3, 0.4 || Time: 12398 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.03, 0.01, 0.12 | Gyro: -0.1, 0.4, -0.1 || MPU2 Acc: -0.05, 0.00, 0.11 | Gyro: -0.5, -0.4, 0.1 || Time: 12408 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.03, 0.04, 0.06 | Gyro: 0.1, 0.1, -0.1 || MPU2 Acc: 0.05, 0.02, 0.03 | Gyro: 0.3, -0.4, 0.4 || Time: 12418 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.02, -0.04, 0.07 | Gyro: -0.3, 0.2, 0.2 || MPU2 Acc: -0.03, -0.03, 0.13 | Gyro: -0.4, -0.2, 0.2 || Time: 12428 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.01, 0.01, 0.16 | Gyro: -0.2, 0.0, -0.1 || MPU2 Acc: 0.03, 0.02, 0.07 | Gyro: -0.6, -0.2, 0.3 || Time: 12440 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.03, -0.03, 0.06 | Gyro: 0.0, 0.3, -0.2 || MPU2 Acc: -0.02, 0.02, 0.01 | Gyro: -0.1, -0.2, 0.3 || Time: 12449 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.00, 0.01, 0.08 | Gyro: 0.1, -0.0, -0.2 || MPU2 Acc: -0.10, 0.01, 0.01 | Gyro: -0.1, 0.2, 0.3 || Time: 12459 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.02, -0.01, 0.07 | Gyro: 0.1, 0.1, -0.2 || MPU2 Acc: -0.02, -0.03, 0.03 | Gyro: -0.6, -0.5, 0.2 || Time: 12470 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.00, 0.05, 0.04 | Gyro: -0.1, -0.1, -0.0 || MPU2 Acc: -0.03, 0.01, 0.07 | Gyro: -0.2, -0.3, -0.1 || Time: 12479 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.04, -0.01, 0.15 | Gyro: 0.0, 0.2, -0.0 || MPU2 Acc: 0.03, -0.01, 0.06 | Gyro: 0.2, -0.1, 0.3 || Time: 12489 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.03, -0.04, 0.14 | Gyro: -0.1, 0.1, 0.1 || MPU2 Acc: -0.01, 0.01, 0.10 | Gyro: -0.5, -0.4, 0.1 || Time: 12499 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.01, 0.01, 0.08 | Gyro: -0.2, 0.2, 0.1 || MPU2 Acc: -0.03, -0.00, 0.00 | Gyro: -0.5, -0.5, 0.1 || Time: 12510 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.02, -0.06, 0.04 | Gyro: -0.3, -0.3, 0.2 || MPU2 Acc: -0.01, -0.03, 0.07 | Gyro: 0.2, -0.0, 0.5 || Time: 12520 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.00, 0.01, 0.09 | Gyro: -0.0, 0.1, 0.1 || MPU2 Acc: -0.07, -0.03, 0.07 | Gyro: -0.6, -0.5, -0.0 || Time: 12530 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.01, -0.00, 0.09 | Gyro: -0.0, -0.0, -0.0 || MPU2 Acc: 0.01, -0.01, 0.08 | Gyro: -0.0, -0.3, -0.0 || Time: 12540 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.03, 0.02, 0.03 | Gyro: -0.1, 0.2, 0.1 || MPU2 Acc: -0.01, 0.07, 0.08 | Gyro: -0.2, -0.4, 0.1 || Time: 12550 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.01, -0.04, 0.05 | Gyro: 0.0, 0.0, -0.2 || MPU2 Acc: -0.04, 0.02, 0.09 | Gyro: -0.4, -0.3, -0.2 || Time: 12560 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.02, -0.03, 0.05 | Gyro: 0.0, 0.2, -0.3 || MPU2 Acc: 0.06, -0.02, 0.10 | Gyro: -0.4, -0.4, 0.2 || Time: 12572 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.01, -0.02, 0.07 | Gyro: -0.3, 0.4, -0.0 || MPU2 Acc: 0.04, 0.02, 0.13 | Gyro: -0.5, -0.1, 0.5 || Time: 12581 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.07, 0.02, 0.02 | Gyro: 0.1, 0.5, -0.1 || MPU2 Acc: -0.01, -0.02, 0.04 | Gyro: -0.8, -0.1, 0.5 || Time: 12591 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.05, 0.03, 0.09 | Gyro: -0.0, 0.4, -0.2 || MPU2 Acc: -0.02, -0.01, 0.03 | Gyro: -0.0, 0.1, 0.8 || Time: 12601 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.01, -0.02, -0.02 | Gyro: -0.2, 0.4, 0.0 || MPU2 Acc: -0.02, -0.05, -0.01 | Gyro: -1.0, -0.2, 0.4 || Time: 12611 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.01, -0.01, 0.03 | Gyro: -0.3, 0.5, -0.1 || MPU2 Acc: -0.08, -0.04, 0.08 | Gyro: -0.4, -0.5, 0.1 || Time: 12621 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.03, -0.04, 0.03 | Gyro: -0.1, 0.7, -0.0 || MPU2 Acc: -0.02, -0.03, -0.01 | Gyro: -0.3, -0.5, 0.5 || Time: 12631 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.01, 0.02, 0.02 | Gyro: 0.1, 0.4, -0.1 || MPU2 Acc: 0.00, -0.01, 0.02 | Gyro: -0.8, -0.4, 0.1 || Time: 12642 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.04, 0.02, 0.14 | Gyro: -0.0, 0.3, 0.1 || MPU2 Acc: -0.01, -0.02, 0.04 | Gyro: -0.7, -0.6, -0.1 || Time: 12652 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.00, -0.03, 0.09 | Gyro: -0.0, 0.5, -0.1 || MPU2 Acc: -0.03, -0.04, 0.02 | Gyro: -0.6, -0.0, 0.4 || Time: 12662 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.02, -0.04, 0.10 | Gyro: -0.1, 0.6, 0.0 || MPU2 Acc: -0.01, -0.00, 0.07 | Gyro: -1.4, 0.1, 0.1 || Time: 12672 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.00, -0.04, 0.05 | Gyro: 0.1, 0.8, -0.1 || MPU2 Acc: -0.04, -0.01, 0.08 | Gyro: -0.5, 0.1, 0.3 || Time: 12682 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.06, 0.02, -0.00 | Gyro: -0.0, 0.5, 0.0 || MPU2 Acc: -0.05, 0.01, 0.03 | Gyro: -1.2, 0.1, 0.1 || Time: 12692 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.03, 0.04, 0.04 | Gyro: 0.2, 0.4, -0.2 || MPU2 Acc: -0.08, -0.03, 0.01 | Gyro: -1.4, 0.2, 0.1 || Time: 12704 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.03, 0.04, 0.10 | Gyro: 0.1, 0.5, -0.3 || MPU2 Acc: -0.05, -0.02, 0.03 | Gyro: -0.7, -0.2, -0.5 || Time: 12713 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.06, 0.08, 0.08 | Gyro: -0.0, 0.5, -0.2 || MPU2 Acc: -0.08, -0.02, -0.04 | Gyro: -0.8, -0.2, -0.0 || Time: 12723 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.01, 0.04, 0.06 | Gyro: 0.1, 0.7, -0.2 || MPU2 Acc: -0.03, -0.07, -0.03 | Gyro: -1.2, -0.2, -0.3 || Time: 12734 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.05, -0.02, 0.11 | Gyro: -0.1, 0.3, 0.1 || MPU2 Acc: 0.02, -0.00, 0.08 | Gyro: -1.1, -0.2, -0.4 || Time: 12744 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.03, 0.04, 0.09 | Gyro: 0.1, 0.8, -0.4 || MPU2 Acc: 0.03, -0.03, 0.06 | Gyro: -0.6, 0.0, 0.3 || Time: 12754 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.00, 0.00, 0.02 | Gyro: 0.1, 0.8, -0.2 || MPU2 Acc: 0.01, 0.02, 0.02 | Gyro: -1.6, 0.2, 0.0 || Time: 12764 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.01, 0.06, 0.13 | Gyro: -0.1, 0.8, -0.1 || MPU2 Acc: 0.05, 0.00, 0.05 | Gyro: -1.8, -0.1, 0.0 || Time: 12775 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.04, 0.03, 0.07 | Gyro: -0.1, 1.0, -0.2 || MPU2 Acc: 0.00, -0.02, 0.02 | Gyro: -1.0, -0.0, 0.4 || Time: 12785 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.03, 0.03, 0.05 | Gyro: 0.0, 1.0, 0.0 || MPU2 Acc: -0.01, 0.04, 0.03 | Gyro: -2.0, 0.0, 0.3 || Time: 12795 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.05, 0.02, -0.05 | Gyro: -0.1, 1.2, -0.1 || MPU2 Acc: -0.02, -0.00, 0.12 | Gyro: -2.2, -0.0, 0.4 || Time: 12806 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.03, -0.00, 0.06 | Gyro: -0.2, 1.5, 0.2 || MPU2 Acc: 0.05, 0.02, 0.05 | Gyro: -1.9, -0.2, 1.1 || Time: 12815 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.01, 0.05, 0.07 | Gyro: -0.2, 1.7, -0.1 || MPU2 Acc: 0.08, 0.02, 0.05 | Gyro: -2.8, -0.1, 0.9 || Time: 12825 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.00, 0.03, 0.02 | Gyro: -0.2, 2.0, -0.1 || MPU2 Acc: 0.02, -0.01, 0.00 | Gyro: -2.8, -0.1, 0.9 || Time: 12835 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.07, 0.04, 0.01 | Gyro: 0.1, 2.5, -0.3 || MPU2 Acc: -0.07, -0.00, 0.14 | Gyro: -2.2, 0.1, 1.3 || Time: 12845 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.02, 0.00, -0.04 | Gyro: -0.3, 2.0, 0.3 || MPU2 Acc: -0.02, 0.00, 0.08 | Gyro: -3.0, 0.0, 1.5 || Time: 12855 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.02, -0.03, 0.07 | Gyro: -0.3, 2.2, -0.1 || MPU2 Acc: -0.06, -0.00, 0.02 | Gyro: -2.9, -0.3, 1.5 || Time: 12865 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.02, -0.02, 0.05 | Gyro: -0.3, 2.3, 0.1 || MPU2 Acc: 0.02, -0.02, 0.03 | Gyro: -2.4, -0.4, 1.7 || Time: 12876 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.03, 0.02, 0.03 | Gyro: -0.1, 2.5, 0.1 || MPU2 Acc: -0.09, -0.03, 0.00 | Gyro: -3.5, -0.2, 1.6 || Time: 12885 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.03, 0.02, 0.01 | Gyro: -0.3, 2.5, -0.1 || MPU2 Acc: -0.12, 0.04, -0.03 | Gyro: -3.0, -0.6, 0.9 || Time: 12895 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.02, -0.01, -0.07 | Gyro: -0.1, 2.1, -0.1 || MPU2 Acc: -0.17, -0.02, -0.13 | Gyro: -2.9, -0.8, 0.2 || Time: 12907 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.01, -0.01, 0.01 | Gyro: -0.0, 1.9, -0.0 || MPU2 Acc: -0.29, -0.05, -0.09 | Gyro: -2.3, -0.8, -0.7 || Time: 12917 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.03, -0.04, 0.01 | Gyro: -0.1, 1.9, 0.0 || MPU2 Acc: 0.04, -0.02, -0.03 | Gyro: -2.6, -1.0, -1.1 || Time: 12927 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.02, 0.01, -0.03 | Gyro: -0.2, 1.7, -0.0 || MPU2 Acc: -0.03, -0.03, -0.02 | Gyro: -2.1, -1.4, -1.5 || Time: 12938 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.02, 0.04, -0.07 | Gyro: -0.4, 1.3, 0.0 || MPU2 Acc: -0.04, -0.04, -0.14 | Gyro: -2.4, -0.6, -1.1 || Time: 12947 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.01, -0.05, -0.05 | Gyro: -0.3, 1.6, 0.0 || MPU2 Acc: 0.09, 0.00, 0.05 | Gyro: -2.4, -0.7, -0.9 || Time: 12957 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.02, 0.01, -0.01 | Gyro: 0.2, 2.0, -0.0 || MPU2 Acc: 0.05, -0.07, 0.11 | Gyro: -2.4, -0.1, -0.0 || Time: 12969 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.05, -0.03, -0.08 | Gyro: -0.1, 2.1, -0.2 || MPU2 Acc: 0.02, -0.00, -0.07 | Gyro: -2.3, 0.2, 0.5 || Time: 12979 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.02, 0.02, 0.03 | Gyro: -0.4, 1.9, 0.2 || MPU2 Acc: -0.11, -0.01, -0.03 | Gyro: -3.2, 0.0, 0.2 || Time: 12989 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.01, 0.03, -0.04 | Gyro: -0.1, 2.3, -0.1 || MPU2 Acc: -0.13, -0.05, -0.04 | Gyro: -2.4, -0.5, -0.4 || Time: 12999 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.01, 0.02, -0.07 | Gyro: 0.0, 2.6, -0.0 || MPU2 Acc: -0.05, 0.00, -0.02 | Gyro: -3.0, -0.7, -0.5 || Time: 13009 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.01, 0.01, 0.07 | Gyro: 0.0, 2.8, -0.2 || MPU2 Acc: -0.11, -0.02, -0.02 | Gyro: -3.3, -1.0, -1.0 || Time: 13019 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.01, 0.03, -0.02 | Gyro: -0.3, 2.7, 0.1 || MPU2 Acc: 0.00, 0.01, -0.07 | Gyro: -2.9, -1.2, -0.7 || Time: 13029 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.01, -0.02, 0.01 | Gyro: -0.2, 2.6, 0.2 || MPU2 Acc: -0.06, -0.01, -0.06 | Gyro: -2.8, -1.1, -0.7 || Time: 13040 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.04, -0.01, 0.00 | Gyro: -0.1, 2.7, -0.2 || MPU2 Acc: -0.03, -0.00, -0.06 | Gyro: -3.2, -0.7, -0.7 || Time: 13050 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.00, -0.01, -0.06 | Gyro: -0.1, 2.7, -0.2 || MPU2 Acc: -0.11, -0.04, -0.12 | Gyro: -3.3, -0.9, -1.3 || Time: 13060 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.01, 0.02, -0.08 | Gyro: 0.3, 3.0, -0.2 || MPU2 Acc: -0.06, -0.08, -0.14 | Gyro: -2.2, -1.0, -1.6 || Time: 13070 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.03, -0.00, -0.02 | Gyro: -0.0, 2.8, -0.1 || MPU2 Acc: -0.04, 0.02, -0.18 | Gyro: -2.9, -1.1, -1.5 || Time: 13080 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.00, 0.00, -0.05 | Gyro: 0.0, 2.7, 0.1 || MPU2 Acc: -0.08, 0.05, -0.12 | Gyro: -2.8, -1.3, -1.7 || Time: 13090 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.01, -0.03, -0.08 | Gyro: -0.1, 3.1, -0.0 || MPU2 Acc: -0.02, -0.02, -0.03 | Gyro: -2.7, -1.9, -1.9 || Time: 13102 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -0.01, -0.01, -0.13 | Gyro: -0.6, 3.1, 0.2 || MPU2 Acc: -0.02, 0.04, -0.02 | Gyro: -1.9, -1.8, -1.7 || Time: 13111 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.00, -0.00, -0.02 | Gyro: -0.1, 3.8, 0.1 || MPU2 Acc: -0.20, 0.03, -0.09 | Gyro: -3.0, -1.7, -2.1 || Time: 13121 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.05, 0.02, -0.08 | Gyro: 0.0, 4.6, -0.3 || MPU2 Acc: -0.00, 0.06, -0.06 | Gyro: -3.3, -2.2, -2.6 || Time: 13131 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.04, -0.04, -0.04 | Gyro: -0.2, 5.1, 0.1 || MPU2 Acc: 0.18, 0.03, 0.05 | Gyro: -3.1, -2.3, -1.7 || Time: 13141 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.04, -0.02, -0.17 | Gyro: -0.1, 5.4, -0.0 || MPU2 Acc: 0.15, 0.08, 0.07 | Gyro: -4.8, -1.9, -1.6 || Time: 13151 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.03, -0.00, -0.07 | Gyro: -0.2, 5.6, 0.1 || MPU2 Acc: 0.07, 0.09, 0.01 | Gyro: -5.0, -2.1, -1.2 || Time: 13161 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.05, -0.02, -0.09 | Gyro: 0.0, 6.5, -0.0 || MPU2 Acc: 0.16, -0.02, -0.02 | Gyro: -5.2, -2.2, -0.2 || Time: 13172 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.00, -0.01, -0.15 | Gyro: -0.3, 6.9, 0.1 || MPU2 Acc: 0.15, 0.03, -0.04 | Gyro: -6.4, -2.1, 0.5 || Time: 13181 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.09, -0.02, -0.17 | Gyro: -0.1, 7.9, 0.0 || MPU2 Acc: 0.01, 0.06, 0.14 | Gyro: -6.5, -1.7, 1.3 || Time: 13191 ms
