=== New Logging Session ===
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, -0.04, -0.03 | Gyro: 0.1, -0.3, -0.1 || MPU2 Acc: -0.03, -0.02, 0.07 | Gyro: -0.5, -0.1, -0.2 || Time: 12008 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, 0.01, -0.01 | Gyro: 0.1, -0.1, -0.2 || MPU2 Acc: -0.02, -0.01, -0.00 | Gyro: -0.3, -0.1, -0.4 || Time: 12221 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.01, -0.01, 0.03 | Gyro: 0.0, 0.1, -0.4 || MPU2 Acc: -0.03, 0.01, 0.02 | Gyro: 0.3, 0.3, -0.1 || Time: 12231 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.00, -0.04, 0.04 | Gyro: -0.3, -0.2, 0.0 || MPU2 Acc: -0.04, -0.00, -0.02 | Gyro: 0.6, 0.0, 0.1 || Time: 12242 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.00, 0.00, 0.03 | Gyro: -0.1, -0.1, -0.1 || MPU2 Acc: -0.12, 0.02, -0.11 | Gyro: -0.3, -0.1, -0.1 || Time: 12252 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.05, 0.03, 0.07 | Gyro: -0.1, -0.2, -0.2 || MPU2 Acc: -0.14, -0.04, -0.05 | Gyro: 0.1, -0.1, -0.2 || Time: 12262 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.02, 0.00, -0.10 | Gyro: 0.2, 0.0, -0.1 || MPU2 Acc: -0.07, -0.02, 0.03 | Gyro: 0.5, -0.0, -0.0 || Time: 12273 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, -0.03, 0.00 | Gyro: 0.3, -0.1, -0.1 || MPU2 Acc: -0.01, -0.03, 0.02 | Gyro: -0.5, -0.1, -0.2 || Time: 12282 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.04, -0.01, -0.08 | Gyro: 0.0, -0.0, -0.2 || MPU2 Acc: -0.07, -0.01, 0.02 | Gyro: -0.1, -0.1, -0.3 || Time: 12292 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.06, 0.02, -0.04 | Gyro: -0.2, 0.1, -0.0 || MPU2 Acc: -0.12, 0.03, 0.05 | Gyro: 0.2, -0.4, -0.3 || Time: 12302 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.00, -0.00, 0.02 | Gyro: -0.2, -0.1, -0.2 || MPU2 Acc: -0.11, 0.01, -0.04 | Gyro: -0.1, -0.1, -0.2 || Time: 12313 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.07, 0.03, -0.01 | Gyro: 0.2, 0.1, -0.1 || MPU2 Acc: -0.01, 0.04, 0.04 | Gyro: -0.6, -0.3, -0.4 || Time: 12323 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, 0.02, -0.03 | Gyro: -0.1, -0.2, -0.0 || MPU2 Acc: -0.10, -0.05, 0.01 | Gyro: 0.1, -0.1, -0.1 || Time: 12333 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.00, 0.02, -0.10 | Gyro: -0.1, 0.0, 0.1 || MPU2 Acc: -0.06, -0.02, -0.02 | Gyro: -0.0, -0.3, -0.0 || Time: 12343 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.02, -0.06, -0.01 | Gyro: -0.2, 0.2, -0.2 || MPU2 Acc: -0.08, 0.01, -0.05 | Gyro: -0.6, -0.2, -0.3 || Time: 12353 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.05, 0.06, 0.04 | Gyro: -0.2, 0.0, 0.1 || MPU2 Acc: -0.07, -0.02, 0.01 | Gyro: 0.2, -0.1, -0.1 || Time: 12363 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.04, 0.05, -0.01 | Gyro: 0.1, 0.2, -0.2 || MPU2 Acc: -0.10, 0.02, -0.03 | Gyro: 0.3, -0.1, -0.3 || Time: 12375 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.00, 0.02, -0.00 | Gyro: -0.1, 0.3, -0.0 || MPU2 Acc: -0.12, 0.01, 0.04 | Gyro: -0.5, -0.2, -0.1 || Time: 12384 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, 0.03, -0.10 | Gyro: -0.2, 0.3, 0.1 || MPU2 Acc: -0.09, 0.02, 0.01 | Gyro: -0.7, -0.4, -0.5 || Time: 12394 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, 0.04, -0.04 | Gyro: 0.5, 0.7, -0.1 || MPU2 Acc: -0.08, 0.02, -0.04 | Gyro: -0.7, -0.5, -0.7 || Time: 12405 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.07, -0.01, -0.02 | Gyro: -0.1, 0.2, 0.1 || MPU2 Acc: -0.08, -0.02, -0.02 | Gyro: 0.2, -0.6, -0.5 || Time: 12414 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.02, 0.04, 0.02 | Gyro: 0.2, 0.2, -0.1 || MPU2 Acc: -0.06, -0.04, -0.08 | Gyro: -0.3, -0.4, -0.4 || Time: 12424 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.02, 0.02, -0.07 | Gyro: 0.0, 0.2, -0.2 || MPU2 Acc: -0.08, -0.05, 0.03 | Gyro: -0.4, -0.4, -0.8 || Time: 12434 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.03, -0.02, -0.01 | Gyro: -0.2, -0.2, 0.2 || MPU2 Acc: -0.09, -0.00, -0.13 | Gyro: -0.3, -0.2, -0.7 || Time: 12446 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -0.02, 0.01, -0.02 | Gyro: 0.0, -0.2, 0.0 || MPU2 Acc: -0.07, 0.03, -0.02 | Gyro: 0.7, -0.1, -0.5 || Time: 12455 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -0.02, -0.01, -0.04 | Gyro: 0.1, -0.3, -0.0 || MPU2 Acc: -0.10, 0.00, -0.06 | Gyro: -0.1, -0.1, -0.7 || Time: 12465 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -0.02, -0.01, -0.07 | Gyro: 0.3, -0.1, -0.1 || MPU2 Acc: -0.08, 0.02, 0.03 | Gyro: -0.1, -0.3, -1.0 || Time: 12475 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.00, 0.05, -0.05 | Gyro: 0.2, -0.2, -0.1 || MPU2 Acc: -0.01, -0.04, -0.08 | Gyro: 0.8, -0.3, -1.0 || Time: 12485 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.01, -0.00, -0.05 | Gyro: 0.2, -0.2, -0.1 || MPU2 Acc: -0.06, 0.02, 0.06 | Gyro: 0.3, -0.1, -0.8 || Time: 12495 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.03, -0.02, 0.04 | Gyro: -0.1, -0.2, -0.0 || MPU2 Acc: -0.09, -0.05, -0.10 | Gyro: 0.6, 0.1, -0.9 || Time: 12507 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -0.05, -0.01, 0.05 | Gyro: -0.3, -0.1, 0.0 || MPU2 Acc: -0.09, 0.04, 0.03 | Gyro: 0.1, -0.3, -1.2 || Time: 12516 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.00, 0.06, -0.04 | Gyro: -0.0, -0.3, 0.0 || MPU2 Acc: -0.09, 0.02, 0.04 | Gyro: 0.9, -0.3, -1.2 || Time: 12526 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -0.03, -0.03, -0.02 | Gyro: -0.2, -0.2, -0.1 || MPU2 Acc: -0.02, 0.01, 0.03 | Gyro: 0.3, -0.5, -1.5 || Time: 12536 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.00, 0.07, -0.01 | Gyro: -0.1, -0.3, -0.1 || MPU2 Acc: -0.04, -0.03, 0.03 | Gyro: 0.2, -0.5, -1.9 || Time: 12546 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -0.01, -0.00, 0.02 | Gyro: 0.1, -0.0, -0.1 || MPU2 Acc: -0.02, 0.00, 0.01 | Gyro: 0.5, -0.5, -1.7 || Time: 12556 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -0.01, 0.01, 0.06 | Gyro: 0.1, -0.0, -0.3 || MPU2 Acc: -0.04, -0.05, -0.06 | Gyro: 0.9, -0.6, -1.7 || Time: 12566 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.01, 0.02, 0.01 | Gyro: -0.3, -0.4, 0.1 || MPU2 Acc: -0.12, -0.03, -0.05 | Gyro: 1.4, -0.3, -1.9 || Time: 12578 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -0.04, 0.03, -0.01 | Gyro: 0.2, -0.2, -0.0 || MPU2 Acc: -0.12, -0.05, -0.08 | Gyro: 0.7, -0.4, -2.7 || Time: 12587 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -0.02, 0.02, -0.01 | Gyro: 0.2, -0.6, -0.0 || MPU2 Acc: -0.06, -0.02, 0.07 | Gyro: 1.1, -0.7, -3.1 || Time: 12597 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: 0.02, 0.07, -0.10 | Gyro: 0.1, -0.6, -0.1 || MPU2 Acc: -0.04, -0.00, -0.05 | Gyro: 1.5, -0.4, -3.0 || Time: 12608 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: -0.00, 0.03, 0.01 | Gyro: 0.3, -0.9, -0.2 || MPU2 Acc: 0.01, -0.11, 0.01 | Gyro: 0.6, -0.8, -3.5 || Time: 12617 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: 0.00, 0.03, -0.02 | Gyro: 0.3, -1.3, -0.1 || MPU2 Acc: -0.03, -0.02, -0.01 | Gyro: 1.4, -0.6, -3.3 || Time: 12627 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: 0.03, 0.09, -0.04 | Gyro: 0.1, -1.0, -0.1 || MPU2 Acc: 0.05, -0.03, -0.04 | Gyro: 1.6, 0.1, -2.9 || Time: 12637 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: -0.00, 0.00, 0.07 | Gyro: -0.0, -1.2, 0.0 || MPU2 Acc: -0.02, 0.02, 0.03 | Gyro: 0.9, -0.1, -2.9 || Time: 12647 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: 0.01, 0.04, -0.00 | Gyro: -0.1, -1.1, 0.2 || MPU2 Acc: 0.09, -0.00, 0.03 | Gyro: 0.9, -0.1, -3.2 || Time: 12657 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: -0.02, 0.00, 0.01 | Gyro: 0.1, -1.0, -0.1 || MPU2 Acc: -0.05, 0.02, 0.05 | Gyro: 1.5, 0.3, -2.8 || Time: 12667 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: 0.44, 0.36, 0.97 | Gyro: -0.7, 0.8, -2.3 || MPU2 Acc: -0.10, -0.16, 0.22 | Gyro: 1.4, -0.1, -2.6 || Time: 12678 ms
Enc Cnt: 4 | Angle: 1.0° || MPU1 Acc: 0.05, 0.06, 0.06 | Gyro: 0.0, -0.8, -0.0 || MPU2 Acc: 0.05, 0.07, 0.12 | Gyro: 0.3, -0.2, -3.2 || Time: 12687 ms
Enc Cnt: 4 | Angle: 1.0° || MPU1 Acc: -0.01, -0.00, 0.03 | Gyro: 0.0, -0.7, -0.2 || MPU2 Acc: 0.11, 0.06, 0.07 | Gyro: 1.0, -0.2, -3.0 || Time: 12697 ms
Enc Cnt: 4 | Angle: 1.0° || MPU1 Acc: -1.63, -0.54, -1.06 | Gyro: 0.1, -1.6, -0.0 || MPU2 Acc: 0.01, 0.29, -0.33 | Gyro: 0.4, 0.2, -3.0 || Time: 12707 ms
Enc Cnt: 4 | Angle: 1.0° || MPU1 Acc: -0.02, -0.06, -0.11 | Gyro: 0.4, -0.7, -0.1 || MPU2 Acc: 0.05, 0.13, -0.21 | Gyro: 0.3, 0.1, -3.5 || Time: 12717 ms
Enc Cnt: 4 | Angle: 1.0° || MPU1 Acc: 0.01, -0.04, 0.00 | Gyro: 0.3, -0.2, -0.2 || MPU2 Acc: -0.07, 0.02, 0.09 | Gyro: 0.7, -0.3, -3.6 || Time: 12727 ms
Enc Cnt: 4 | Angle: 1.0° || MPU1 Acc: -0.02, 0.01, -0.05 | Gyro: 0.2, -0.3, -0.1 || MPU2 Acc: -0.08, 0.11, 0.05 | Gyro: 0.5, -0.8, -4.1 || Time: 12739 ms
Enc Cnt: 4 | Angle: 1.0° || MPU1 Acc: -0.02, -0.01, 0.04 | Gyro: 0.0, -0.4, -0.0 || MPU2 Acc: 0.03, -0.01, -0.00 | Gyro: -0.1, -0.5, -4.1 || Time: 12748 ms
Enc Cnt: 5 | Angle: 1.3° || MPU1 Acc: -0.00, -0.02, 0.04 | Gyro: 0.1, -0.2, -0.1 || MPU2 Acc: 0.05, 0.03, 0.07 | Gyro: -0.3, -0.8, -4.6 || Time: 12758 ms
Enc Cnt: 5 | Angle: 1.3° || MPU1 Acc: -0.03, 0.01, 0.03 | Gyro: -0.1, 0.2, -0.3 || MPU2 Acc: 0.05, -0.02, 0.20 | Gyro: -0.2, -0.4, -4.6 || Time: 12768 ms
Enc Cnt: 5 | Angle: 1.3° || MPU1 Acc: -0.02, 0.01, 0.06 | Gyro: -0.0, 0.4, -0.1 || MPU2 Acc: 0.13, 0.01, 0.06 | Gyro: -0.1, -0.7, -4.9 || Time: 12778 ms
Enc Cnt: 5 | Angle: 1.3° || MPU1 Acc: -0.04, 0.02, -0.04 | Gyro: 0.1, 0.6, -0.2 || MPU2 Acc: -0.02, 0.09, 0.11 | Gyro: -0.6, -1.5, -5.1 || Time: 12788 ms
Enc Cnt: 5 | Angle: 1.3° || MPU1 Acc: 0.03, -0.03, -0.02 | Gyro: -0.6, 0.4, 0.1 || MPU2 Acc: -0.05, 0.04, 0.11 | Gyro: -1.0, -1.6, -5.3 || Time: 12798 ms
Enc Cnt: 6 | Angle: 1.3° || MPU1 Acc: 0.05, 0.02, 0.02 | Gyro: 0.2, 0.6, -0.2 || MPU2 Acc: 0.03, 0.03, 0.03 | Gyro: -1.0, -1.5, -5.6 || Time: 12810 ms
Enc Cnt: 6 | Angle: 1.5° || MPU1 Acc: 0.06, -0.04, -0.01 | Gyro: -0.0, 0.6, -0.1 || MPU2 Acc: 0.10, 0.02, -0.01 | Gyro: -0.2, -1.3, -5.5 || Time: 12819 ms
Enc Cnt: 6 | Angle: 1.5° || MPU1 Acc: 0.02, 0.05, 0.03 | Gyro: 0.0, 0.9, -0.1 || MPU2 Acc: 0.05, 0.06, 0.07 | Gyro: -1.1, -1.5, -5.6 || Time: 12829 ms
Enc Cnt: 6 | Angle: 1.5° || MPU1 Acc: -0.03, 0.07, 0.10 | Gyro: -0.2, 0.9, -0.2 || MPU2 Acc: 0.08, -0.01, 0.10 | Gyro: -1.2, -1.8, -5.8 || Time: 12840 ms
Enc Cnt: 6 | Angle: 1.5° || MPU1 Acc: 0.04, -0.00, -0.03 | Gyro: -0.1, 0.8, -0.1 || MPU2 Acc: -0.24, 0.04, -0.01 | Gyro: -1.0, -2.5, -6.6 || Time: 12850 ms
Enc Cnt: 7 | Angle: 1.8° || MPU1 Acc: 0.01, 0.03, -0.08 | Gyro: -0.0, 1.3, 0.0 || MPU2 Acc: 0.04, 0.07, 0.02 | Gyro: -0.6, -2.1, -6.8 || Time: 12860 ms
Enc Cnt: 7 | Angle: 1.8° || MPU1 Acc: 0.01, 0.02, 0.03 | Gyro: -0.2, 1.1, -0.2 || MPU2 Acc: 0.13, 0.06, -0.03 | Gyro: -1.2, -2.1, -7.2 || Time: 12870 ms
Enc Cnt: 7 | Angle: 1.8° || MPU1 Acc: -0.03, -0.05, 0.01 | Gyro: -0.3, 1.0, 0.0 || MPU2 Acc: 0.04, 0.05, -0.01 | Gyro: -1.3, -2.3, -7.8 || Time: 12880 ms
Enc Cnt: 8 | Angle: 2.0° || MPU1 Acc: 0.01, 0.07, 0.01 | Gyro: -0.1, 0.8, -0.2 || MPU2 Acc: 0.15, 0.02, -0.03 | Gyro: -0.6, -2.7, -8.2 || Time: 12890 ms
Enc Cnt: 8 | Angle: 2.0° || MPU1 Acc: 0.01, -0.03, -0.04 | Gyro: -0.1, 0.8, -0.0 || MPU2 Acc: 0.14, -0.00, 0.03 | Gyro: -1.0, -2.9, -8.5 || Time: 12900 ms
Enc Cnt: 8 | Angle: 2.0° || MPU1 Acc: 0.05, 0.01, 0.02 | Gyro: -0.2, 0.5, 0.1 || MPU2 Acc: 0.11, 0.01, -0.05 | Gyro: -1.6, -3.1, -8.7 || Time: 12911 ms
Enc Cnt: 9 | Angle: 2.2° || MPU1 Acc: 0.04, 0.03, 0.05 | Gyro: -0.0, 0.8, -0.2 || MPU2 Acc: 0.21, 0.03, 0.07 | Gyro: -1.6, -3.5, -9.2 || Time: 12921 ms
Enc Cnt: 9 | Angle: 2.2° || MPU1 Acc: -0.06, 0.02, -0.02 | Gyro: 0.1, 0.7, -0.2 || MPU2 Acc: 0.20, 0.05, 0.10 | Gyro: -1.0, -3.2, -9.0 || Time: 12931 ms
Enc Cnt: 9 | Angle: 2.2° || MPU1 Acc: 0.04, -0.02, -0.03 | Gyro: 0.1, 0.9, -0.2 || MPU2 Acc: 0.24, 0.04, -0.04 | Gyro: -1.4, -3.5, -9.1 || Time: 12941 ms
Enc Cnt: 10 | Angle: 2.5° || MPU1 Acc: 0.05, 0.04, -0.02 | Gyro: -0.5, 1.0, -0.1 || MPU2 Acc: 0.24, 0.08, 0.07 | Gyro: -1.7, -3.6, -9.3 || Time: 12951 ms
Enc Cnt: 10 | Angle: 2.5° || MPU1 Acc: 0.03, 0.02, 0.01 | Gyro: -0.1, 1.2, -0.2 || MPU2 Acc: 0.21, 0.08, -0.05 | Gyro: -0.8, -3.6, -9.3 || Time: 12961 ms
Enc Cnt: 10 | Angle: 2.5° || MPU1 Acc: 0.02, 0.03, -0.02 | Gyro: -0.1, 1.5, -0.3 || MPU2 Acc: 0.34, 0.11, 0.03 | Gyro: -1.2, -3.3, -9.4 || Time: 12973 ms
Enc Cnt: 11 | Angle: 2.7° || MPU1 Acc: 0.02, 0.07, -0.02 | Gyro: -0.2, 1.9, -0.1 || MPU2 Acc: 0.27, 0.11, 0.03 | Gyro: -2.1, -3.5, -9.6 || Time: 12983 ms
Enc Cnt: 11 | Angle: 2.7° || MPU1 Acc: 0.07, -0.01, -0.01 | Gyro: -0.3, 2.1, -0.1 || MPU2 Acc: 0.30, 0.11, 0.01 | Gyro: -2.2, -3.8, -9.8 || Time: 12993 ms
Enc Cnt: 12 | Angle: 2.7° || MPU1 Acc: 0.01, -0.01, -0.00 | Gyro: -0.1, 2.6, -0.2 || MPU2 Acc: 0.31, 0.09, -0.10 | Gyro: -2.0, -3.8, -9.6 || Time: 13003 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: -0.03, -0.04, -0.02 | Gyro: -0.1, 2.7, -0.1 || MPU2 Acc: 0.37, 0.10, -0.01 | Gyro: -2.6, -3.6, -9.6 || Time: 13013 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: 0.02, 0.01, -0.05 | Gyro: -0.2, 2.5, -0.1 || MPU2 Acc: 0.41, 0.05, -0.06 | Gyro: -2.9, -3.6, -10.0 || Time: 13023 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: 0.00, -0.01, -0.05 | Gyro: 0.2, 3.0, -0.2 || MPU2 Acc: 0.39, 0.07, -0.02 | Gyro: -2.1, -3.3, -9.8 || Time: 13033 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: -0.02, -0.08, -0.27 | Gyro: 0.2, 2.7, 0.1 || MPU2 Acc: 0.37, 0.05, -0.05 | Gyro: -2.3, -2.8, -9.7 || Time: 13045 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: 0.13, 0.06, 0.33 | Gyro: -0.5, 2.9, -0.2 || MPU2 Acc: 0.48, 0.08, -0.07 | Gyro: -3.2, -2.9, -10.4 || Time: 13054 ms
Enc Cnt: 14 | Angle: 3.5° || MPU1 Acc: -0.15, -0.04, -0.09 | Gyro: 0.0, 3.3, -0.2 || MPU2 Acc: 0.45, 0.19, -0.05 | Gyro: -2.6, -2.8, -10.7 || Time: 13064 ms
Enc Cnt: 14 | Angle: 3.5° || MPU1 Acc: -0.15, -0.14, -0.18 | Gyro: 0.2, 3.3, -0.4 || MPU2 Acc: 0.23, 0.07, 0.01 | Gyro: -2.5, -2.8, -11.0 || Time: 13075 ms
Enc Cnt: 15 | Angle: 3.7° || MPU1 Acc: -0.12, -0.11, -0.36 | Gyro: -0.0, 4.1, -0.7 || MPU2 Acc: 0.40, 0.04, -0.08 | Gyro: -3.0, -3.5, -11.7 || Time: 13084 ms
Enc Cnt: 15 | Angle: 3.7° || MPU1 Acc: 0.33, 0.05, -0.15 | Gyro: 0.7, 2.4, -0.1 || MPU2 Acc: 0.52, 0.02, -0.26 | Gyro: -2.8, -2.9, -11.9 || Time: 13094 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: 0.66, 0.26, 0.45 | Gyro: -0.1, 3.3, -0.4 || MPU2 Acc: 0.51, 0.01, -0.07 | Gyro: -2.4, -3.0, -11.9 || Time: 13106 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: 0.32, 0.03, -0.08 | Gyro: 0.5, 2.5, -0.0 || MPU2 Acc: 0.60, 0.11, -0.25 | Gyro: -3.1, -2.7, -11.9 || Time: 13116 ms
Enc Cnt: 17 | Angle: 4.2° || MPU1 Acc: -0.29, -0.13, -0.29 | Gyro: 0.1, 2.4, 0.2 || MPU2 Acc: 0.66, 0.21, -0.36 | Gyro: -3.2, -2.6, -12.2 || Time: 13126 ms
