=== New Logging Session ===
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.02, 0.05, -0.14 | Gyro: -0.2, 0.0, 0.1 || MPU2 Acc: 0.08, 0.05, -0.04 | Gyro: -0.3, -0.1, 0.3 || Time: 12006 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.01, 0.05, -0.03 | Gyro: 0.2, 0.3, -0.4 || MPU2 Acc: 0.04, 0.04, -0.04 | Gyro: 0.2, -0.1, 0.6 || Time: 12200 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.01, -0.03, -0.09 | Gyro: -0.4, -0.1, -0.0 || MPU2 Acc: 0.06, 0.01, -0.05 | Gyro: -0.5, 0.2, 0.4 || Time: 12210 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.09, -0.01, 0.02 | Gyro: -0.2, -0.0, -0.1 || MPU2 Acc: 0.11, 0.05, -0.03 | Gyro: 0.1, -0.1, 0.2 || Time: 12220 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.06, -0.10, 0.03 | Gyro: -0.1, -0.0, -0.2 || MPU2 Acc: 0.12, 0.05, -0.01 | Gyro: -0.2, -0.1, 0.1 || Time: 12230 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.04, -0.02, 0.01 | Gyro: 0.0, 0.0, -0.1 || MPU2 Acc: 0.09, 0.06, -0.05 | Gyro: 0.1, -0.0, 0.3 || Time: 12242 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.04, -0.04, -0.04 | Gyro: -0.1, -0.0, -0.1 || MPU2 Acc: 0.08, -0.03, -0.05 | Gyro: 0.5, 0.0, 0.7 || Time: 12251 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.06, -0.05, -0.03 | Gyro: 0.1, 0.2, -0.1 || MPU2 Acc: 0.09, 0.06, 0.00 | Gyro: -0.4, -0.2, 0.5 || Time: 12261 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.01, 0.01, 0.01 | Gyro: 0.0, 0.1, -0.3 || MPU2 Acc: 0.12, -0.00, -0.03 | Gyro: 0.3, 0.2, 0.5 || Time: 12305 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.01, 0.05, -0.05 | Gyro: 0.1, -0.0, -0.0 || MPU2 Acc: 0.06, 0.06, 0.03 | Gyro: 0.1, 0.1, 0.9 || Time: 12315 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.01, -0.04, 0.02 | Gyro: -0.1, -0.1, 0.1 || MPU2 Acc: 0.07, 0.09, 0.01 | Gyro: -0.4, -0.0, 0.5 || Time: 12325 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.05, 0.01, -0.05 | Gyro: 0.1, 0.1, -0.1 || MPU2 Acc: 0.10, 0.05, -0.04 | Gyro: 0.3, 0.0, 0.6 || Time: 12335 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.03, -0.04, 0.03 | Gyro: -0.1, -0.2, 0.0 || MPU2 Acc: 0.10, -0.02, -0.04 | Gyro: 0.5, 0.1, 0.8 || Time: 12346 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.08, -0.05, 0.03 | Gyro: -0.1, 0.0, 0.1 || MPU2 Acc: 0.07, -0.05, -0.05 | Gyro: -0.3, 0.3, 0.6 || Time: 12356 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.00, -0.01, -0.10 | Gyro: 0.2, -0.0, -0.2 || MPU2 Acc: 0.11, 0.04, -0.12 | Gyro: 0.2, -0.0, 0.6 || Time: 12366 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.00, 0.02, -0.05 | Gyro: 0.1, -0.2, -0.0 || MPU2 Acc: 0.09, -0.00, -0.08 | Gyro: 0.5, 0.3, 0.9 || Time: 12377 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.00, 0.02, -0.02 | Gyro: 0.2, 0.2, -0.2 || MPU2 Acc: 0.06, 0.05, 0.02 | Gyro: -0.2, 0.0, 0.5 || Time: 12386 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.03, -0.04, -0.03 | Gyro: 0.2, 0.0, -0.0 || MPU2 Acc: 0.08, 0.04, 0.02 | Gyro: 0.4, 0.2, 0.6 || Time: 12396 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.05, -0.02, -0.05 | Gyro: -0.2, -0.3, 0.1 || MPU2 Acc: 0.04, 0.04, 0.07 | Gyro: -0.1, 0.2, 0.9 || Time: 12406 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.00, 0.01, 0.01 | Gyro: -0.2, -0.1, 0.1 || MPU2 Acc: 0.04, 0.03, -0.04 | Gyro: -0.2, 0.2, 0.6 || Time: 12416 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.01, -0.05, -0.04 | Gyro: 0.2, 0.0, -0.2 || MPU2 Acc: 0.12, 0.01, -0.02 | Gyro: -0.0, -0.1, 0.5 || Time: 12426 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.07, 0.00, -0.01 | Gyro: 0.1, -0.1, -0.1 || MPU2 Acc: 0.09, 0.01, 0.01 | Gyro: 0.5, -0.1, 0.8 || Time: 12436 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.02, 0.09, -0.03 | Gyro: 0.1, 0.0, -0.1 || MPU2 Acc: 0.05, 0.02, -0.07 | Gyro: -0.4, 0.1, 0.5 || Time: 12447 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.00, 0.01, 0.02 | Gyro: -0.0, -0.1, -0.1 || MPU2 Acc: 0.01, 0.00, -0.03 | Gyro: 0.4, 0.3, 0.6 || Time: 12456 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.00, -0.03, 0.01 | Gyro: -0.0, 0.1, -0.2 || MPU2 Acc: 0.09, 0.00, -0.04 | Gyro: 0.0, 0.1, 0.7 || Time: 12466 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.04, -0.03, 0.08 | Gyro: -0.4, -0.1, 0.1 || MPU2 Acc: 0.10, 0.02, -0.03 | Gyro: -0.1, -0.1, 0.4 || Time: 12476 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.03, 0.04, -0.06 | Gyro: 0.1, 0.0, -0.1 || MPU2 Acc: 0.06, 0.02, -0.11 | Gyro: 0.5, 0.1, 0.5 || Time: 12486 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.03, -0.01, 0.02 | Gyro: 0.0, 0.0, -0.3 || MPU2 Acc: 0.06, 0.00, 0.08 | Gyro: 0.2, 0.1, 0.6 || Time: 12496 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.02, 0.03, -0.06 | Gyro: -0.1, -0.0, -0.1 || MPU2 Acc: 0.06, -0.02, -0.03 | Gyro: -0.2, 0.2, 0.5 || Time: 12508 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.05, -0.00, -0.05 | Gyro: 0.2, -0.0, -0.3 || MPU2 Acc: 0.11, 0.00, -0.05 | Gyro: -0.0, -0.2, 0.2 || Time: 12517 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.02, 0.09, -0.01 | Gyro: 0.0, -0.0, -0.2 || MPU2 Acc: 0.07, 0.04, -0.07 | Gyro: 0.5, 0.2, 0.5 || Time: 12527 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.03, 0.01, -0.06 | Gyro: 0.1, -0.2, -0.1 || MPU2 Acc: 0.08, -0.02, 0.03 | Gyro: -0.1, 0.3, 0.3 || Time: 12538 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.04, 0.02, -0.06 | Gyro: -0.1, -0.2, 0.0 || MPU2 Acc: 0.05, 0.04, 0.01 | Gyro: 0.3, 0.2, 0.5 || Time: 12547 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.00, -0.01, 0.01 | Gyro: -0.2, -0.2, -0.0 || MPU2 Acc: 0.11, -0.00, 0.00 | Gyro: -0.1, 0.3, 0.6 || Time: 12557 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.02, 0.01, 0.01 | Gyro: 0.2, 0.1, -0.1 || MPU2 Acc: 0.15, -0.01, 0.01 | Gyro: -0.4, -0.1, 0.6 || Time: 12567 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.03, 0.03, -0.00 | Gyro: 0.0, -0.2, -0.2 || MPU2 Acc: 0.04, 0.01, 0.04 | Gyro: -0.4, 0.2, 0.5 || Time: 12578 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.02, -0.05, -0.08 | Gyro: 0.1, -0.0, -0.3 || MPU2 Acc: 0.07, -0.02, 0.05 | Gyro: 0.6, 0.3, 0.7 || Time: 12588 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.00, -0.00, -0.00 | Gyro: 0.1, -0.1, -0.2 || MPU2 Acc: 0.11, -0.02, -0.12 | Gyro: -0.3, 0.3, 0.8 || Time: 12598 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.04, -0.01, 0.05 | Gyro: -0.0, -0.1, -0.2 || MPU2 Acc: 0.03, 0.03, 0.10 | Gyro: -0.4, 0.3, 0.5 || Time: 12609 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.01, -0.03, 0.00 | Gyro: 0.2, 0.1, -0.2 || MPU2 Acc: 0.03, -0.01, 0.02 | Gyro: 0.3, 0.4, 0.7 || Time: 12618 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.01, 0.02, -0.04 | Gyro: 0.3, 0.3, -0.5 || MPU2 Acc: 0.03, 0.02, -0.07 | Gyro: -0.3, 0.1, 0.7 || Time: 12628 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.01, -0.02, -0.13 | Gyro: 0.3, 0.2, -0.4 || MPU2 Acc: 0.03, 0.01, 0.00 | Gyro: -0.2, 0.1, 0.4 || Time: 12638 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.03, 0.01, -0.03 | Gyro: 0.1, -0.0, -0.1 || MPU2 Acc: 0.05, -0.01, 0.02 | Gyro: 0.4, 0.2, 0.5 || Time: 12648 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.03, -0.06, 0.01 | Gyro: 0.2, 0.0, -0.4 || MPU2 Acc: 0.03, -0.01, -0.07 | Gyro: -0.3, 0.1, 0.2 || Time: 12658 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.04, -0.04, -0.04 | Gyro: -0.2, -0.4, 0.0 || MPU2 Acc: 0.13, 0.04, -0.04 | Gyro: 0.5, 0.1, 0.4 || Time: 12668 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.00, -0.04, 0.08 | Gyro: -0.0, 0.1, -0.4 || MPU2 Acc: 0.09, 0.03, -0.01 | Gyro: 0.6, 0.3, 0.3 || Time: 12678 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.03, 0.02, -0.04 | Gyro: -0.0, -0.1, -0.1 || MPU2 Acc: 0.05, 0.01, 0.00 | Gyro: -0.4, 0.3, 0.0 || Time: 12688 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.02, -0.01, 0.03 | Gyro: -0.2, -0.1, -0.2 || MPU2 Acc: 0.07, 0.03, -0.03 | Gyro: -0.0, -0.1, 0.1 || Time: 12698 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.01, 0.01, -0.00 | Gyro: 0.1, -0.2, -0.0 || MPU2 Acc: 0.12, 0.03, -0.03 | Gyro: 0.1, 0.1, 0.1 || Time: 12710 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.01, 0.02, 0.01 | Gyro: 0.4, 0.2, -0.4 || MPU2 Acc: 0.06, 0.07, 0.10 | Gyro: 0.4, 0.1, 0.2 || Time: 12720 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.07, -0.00, -0.01 | Gyro: -0.1, -0.2, -0.3 || MPU2 Acc: 0.04, 0.08, 0.10 | Gyro: -0.4, 0.0, -0.0 || Time: 12730 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.01, 0.02, 0.00 | Gyro: 0.2, -0.2, -0.2 || MPU2 Acc: 0.10, 0.00, -0.06 | Gyro: -0.3, -0.1, 0.2 || Time: 12741 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.00, 0.02, -0.06 | Gyro: 0.2, -0.1, -0.1 || MPU2 Acc: -0.03, 0.01, -0.02 | Gyro: 0.5, 0.2, 0.2 || Time: 12751 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.01, 0.01, 0.04 | Gyro: -0.0, -0.0, -0.1 || MPU2 Acc: 0.00, -0.00, -0.08 | Gyro: -0.1, 0.1, 0.1 || Time: 12761 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.01, 0.00, 0.03 | Gyro: 0.2, 0.1, -0.3 || MPU2 Acc: 0.05, 0.02, 0.06 | Gyro: -0.3, -0.1, 0.0 || Time: 12772 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.04, -0.04, -0.05 | Gyro: -0.1, -0.1, -0.1 || MPU2 Acc: 0.05, -0.01, -0.04 | Gyro: 0.5, 0.0, 0.3 || Time: 12781 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.01, 0.06, -0.02 | Gyro: 0.4, 0.1, -0.3 || MPU2 Acc: 0.09, 0.03, -0.06 | Gyro: -0.4, 0.1, 0.4 || Time: 12791 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.01, 0.05, 0.00 | Gyro: -0.3, -0.2, -0.1 || MPU2 Acc: 0.09, 0.07, -0.09 | Gyro: 0.3, 0.0, 0.1 || Time: 12801 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.00, 0.00, 0.04 | Gyro: -0.1, -0.0, -0.0 || MPU2 Acc: 0.02, 0.05, 0.02 | Gyro: 0.6, -0.1, 0.3 || Time: 12812 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.03, 0.07, 0.03 | Gyro: 0.3, 0.1, -0.2 || MPU2 Acc: 0.06, -0.03, -0.06 | Gyro: -0.3, -0.1, 0.3 || Time: 12822 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.02, 0.04, 0.04 | Gyro: -0.0, -0.1, -0.1 || MPU2 Acc: 0.07, 0.02, 0.00 | Gyro: -0.3, 0.1, -0.1 || Time: 12832 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.01, 0.09, -0.02 | Gyro: 0.4, 0.3, -0.4 || MPU2 Acc: 0.05, 0.02, -0.03 | Gyro: 0.4, 0.1, 0.1 || Time: 12842 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.00, -0.02, -0.02 | Gyro: 0.1, 0.1, -0.3 || MPU2 Acc: 0.08, -0.02, -0.02 | Gyro: -0.3, -0.3, 0.2 || Time: 12852 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.01, -0.04, 0.02 | Gyro: 0.0, -0.0, -0.1 || MPU2 Acc: 0.09, 0.06, -0.00 | Gyro: -0.4, -0.1, 0.1 || Time: 12862 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.01, -0.01, -0.04 | Gyro: 0.0, -0.1, -0.1 || MPU2 Acc: 0.02, 0.01, -0.05 | Gyro: -0.4, -0.1, 0.1 || Time: 12874 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.03, -0.03, 0.04 | Gyro: 0.1, 0.2, -0.2 || MPU2 Acc: 0.10, 0.05, 0.06 | Gyro: 0.1, 0.0, 0.5 || Time: 12884 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.02, -0.01, 0.03 | Gyro: 0.2, 0.1, 0.0 || MPU2 Acc: 0.04, -0.01, 0.00 | Gyro: 0.2, -0.0, 0.4 || Time: 12894 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.08, -0.06, 0.05 | Gyro: 0.4, 0.4, -0.2 || MPU2 Acc: 0.08, 0.03, -0.11 | Gyro: -0.6, -0.2, 0.3 || Time: 12904 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.02, -0.02, -0.03 | Gyro: -0.1, 0.0, -0.1 || MPU2 Acc: 0.11, -0.01, -0.01 | Gyro: 0.1, -0.2, 0.3 || Time: 12914 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.04, -0.03, 0.03 | Gyro: -0.1, -0.1, -0.2 || MPU2 Acc: 0.08, 0.01, 0.03 | Gyro: 0.0, -0.0, 0.5 || Time: 12924 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.00, -0.04, -0.01 | Gyro: 0.2, 0.1, -0.1 || MPU2 Acc: 0.09, 0.05, -0.02 | Gyro: -0.6, 0.0, 0.1 || Time: 12934 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.04, 0.00, -0.04 | Gyro: -0.2, 0.3, -0.3 || MPU2 Acc: 0.07, -0.01, 0.04 | Gyro: -0.6, 0.0, 0.1 || Time: 12946 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.00, 0.04, 0.00 | Gyro: -0.1, 0.2, -0.2 || MPU2 Acc: 0.05, 0.02, -0.01 | Gyro: 0.4, -0.0, 0.3 || Time: 12955 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.02, -0.02, -0.03 | Gyro: 0.0, 0.2, -0.2 || MPU2 Acc: 0.03, 0.03, 0.06 | Gyro: -0.5, -0.1, 0.3 || Time: 12965 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.02, 0.04, -0.06 | Gyro: -0.0, 0.2, -0.1 || MPU2 Acc: 0.08, 0.09, 0.09 | Gyro: -0.3, 0.0, -0.1 || Time: 12976 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.04, 0.08, 0.03 | Gyro: 0.0, 0.3, -0.1 || MPU2 Acc: 0.11, 0.00, 0.02 | Gyro: 0.4, -0.2, 0.2 || Time: 12986 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.00, -0.02, -0.04 | Gyro: 0.0, -0.0, -0.1 || MPU2 Acc: 0.03, -0.00, -0.01 | Gyro: -0.3, -0.1, 0.2 || Time: 12996 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.01, -0.05, 0.05 | Gyro: -0.0, 0.0, -0.1 || MPU2 Acc: 0.05, 0.04, 0.05 | Gyro: -0.6, 0.1, 0.1 || Time: 13006 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.02, 0.03, 0.01 | Gyro: 0.0, 0.2, -0.1 || MPU2 Acc: 0.09, 0.04, -0.00 | Gyro: 0.4, 0.1, 0.3 || Time: 13016 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.02, -0.03, 0.02 | Gyro: 0.0, 0.1, -0.2 || MPU2 Acc: 0.09, -0.00, -0.04 | Gyro: -0.3, 0.0, 0.3 || Time: 13026 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.01, -0.04, -0.04 | Gyro: 0.3, 0.2, -0.1 || MPU2 Acc: 0.02, 0.02, -0.03 | Gyro: -0.3, -0.1, 0.0 || Time: 13036 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.03, 0.01, -0.08 | Gyro: -0.0, 0.0, -0.0 || MPU2 Acc: 0.05, 0.02, -0.09 | Gyro: 0.3, 0.2, 0.2 || Time: 13047 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.04, -0.03, -0.11 | Gyro: 0.1, 0.2, -0.1 || MPU2 Acc: 0.08, 0.03, -0.07 | Gyro: -0.7, -0.2, 0.2 || Time: 13056 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.06, -0.00, 0.03 | Gyro: 0.4, 0.2, -0.1 || MPU2 Acc: 0.06, -0.00, 0.00 | Gyro: -0.1, 0.1, 0.3 || Time: 13066 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.02, 0.04, -0.07 | Gyro: 0.0, 0.2, -0.2 || MPU2 Acc: 0.08, 0.03, -0.01 | Gyro: -0.6, 0.0, -0.0 || Time: 13076 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.02, -0.02, 0.04 | Gyro: 0.1, 0.2, -0.2 || MPU2 Acc: 0.04, 0.00, 0.07 | Gyro: 0.3, -0.0, -0.0 || Time: 13086 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.01, 0.07, 0.03 | Gyro: 0.3, 0.1, -0.2 || MPU2 Acc: 0.08, 0.00, -0.01 | Gyro: 0.1, -0.0, 0.4 || Time: 13096 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.02, -0.03, 0.03 | Gyro: -0.1, 0.0, -0.1 || MPU2 Acc: 0.15, 0.01, 0.04 | Gyro: -0.1, 0.0, 0.4 || Time: 13108 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.01, 0.03, 0.00 | Gyro: -0.2, 0.0, -0.1 || MPU2 Acc: 0.03, 0.01, -0.01 | Gyro: -0.3, -0.0, 0.1 || Time: 13117 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.00, 0.01, 0.04 | Gyro: 0.0, 0.1, -0.1 || MPU2 Acc: 0.07, 0.01, 0.09 | Gyro: 0.4, 0.0, 0.6 || Time: 13127 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.03, 0.00, -0.04 | Gyro: 0.2, 0.1, -0.2 || MPU2 Acc: 0.10, 0.07, -0.01 | Gyro: -0.4, 0.0, 0.3 || Time: 13137 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.01, 0.01, 0.05 | Gyro: 0.3, 0.3, -0.2 || MPU2 Acc: 0.05, 0.04, -0.01 | Gyro: -0.1, 0.0, 0.1 || Time: 13147 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.04, 0.05, 0.01 | Gyro: 0.2, 0.0, -0.2 || MPU2 Acc: -0.01, 0.04, 0.04 | Gyro: 0.6, -0.1, 0.5 || Time: 13157 ms
